dataset,column,role,inferred_type,action,notes
W2,v42_04,question,binary_01,keep,
W2,v42_05,question,binary_01,keep,
W2,v42_06,question,binary_01,keep,
W2,v42_07,question,binary_01,keep,
W2,v42_08,question,binary_01,keep,
W2,v42_09,question,binary_01,keep,
W2,v42_10,question,binary_01,keep,
W2,v42_11,question,binary_01,keep,
W2,v42_12,question,binary_01,keep,
W2,v42_13,question,binary_01,keep,
W2,v42_14,question,binary_01,keep,
W2,v43_1,question,likert_4,keep,
W2,v43_2,question,likert_4,keep,
W2,v44_1,question,likert_4,keep,
W2,v44_2,question,likert_4,keep,
W2,v44_3,question,likert_4,keep,
W2,v44_4,question,likert_4,keep,
W2,v44_5,question,likert_4,keep,
W2,v45_1,question,likert_4,keep,
W2,v45_2,question,likert_4,keep,
W2,v45_3,question,likert_4,keep,
W2,v45_4,question,likert_4,keep,
W2,v46_1,question,binary_12,keep,
W2,v46_2,question,binary_12,keep,
W2,v46_3,question,binary_12,keep,
W2,v47_1,question,likert_5,keep,
W2,v47_2,question,likert_5,keep,
W2,v47_3,question,likert_5,keep,
W2,v47_4,question,likert_5,keep,
W2,v47_5,question,likert_5,keep,
W2,v47_6,question,likert_5,keep,
W2,v47_7,question,likert_5,keep,
W2,v47_8,question,likert_5,keep,
W2,v47_9,question,likert_5,keep,
W2,v48_01,question,binary_01,keep,
W2,v48_02,question,binary_01,keep,
W2,v48_03,question,binary_01,keep,
W2,v48_04,question,binary_01,keep,
W2,v48_05,question,binary_01,keep,
W2,v48_06,question,binary_01,keep,
W2,v48_07,question,binary_01,keep,
W2,v48_08,question,binary_01,keep,
W2,v49,question,likert_4,keep,
W2,v50,question,likert_4,keep,
W2,v51,question,likert_4,keep,
W2,v521,question,likert_4,keep,
W2,v52_1,question,likert_4,keep,
W2,v52_2,question,likert_4,keep,
W2,v52_3,question,likert_4,keep,
W2,v53_1,question,likert_4,keep,
W2,v53_2,question,likert_4,keep,
W2,v53_3,question,likert_4,keep,
W2,v53_4,question,likert_4,keep,
W2,v53_5,question,likert_4,keep,
W2,v54_1,question,likert_4,keep,
W2,v54_2,question,likert_4,keep,
W2,v54_3,question,likert_4,keep,
W2,v54_4,question,likert_4,keep,
W2,v54_5,question,likert_4,keep,
W2,v54_6,question,likert_4,keep,
W2,v54_7,question,likert_4,keep,
W2,v54_8,question,likert_4,keep,
W2,v54_9,question,likert_4,keep,
W2,v54_10,question,likert_4,keep,
W2,v54_11,question,likert_4,keep,
W2,v54_12,question,likert_4,keep,
W2,v54_13,question,likert_4,keep,
W2,v54_14,question,likert_4,keep,
W2,v54_15,question,likert_4,keep,
W2,v54_16,question,likert_4,keep,
W2,v54_17,question,likert_4,keep,
W2,v54_18,question,likert_4,keep,
W2,v54_19,question,likert_4,keep,
W2,v54_20,question,likert_4,keep,
W2,v55_1,question,likert_5,keep,
W2,v55_2,question,likert_5,keep,
W2,v55_3,question,likert_5,keep,
W2,v55_4,question,likert_5,keep,
W2,v55_5,question,likert_5,keep,
W2,v55_6,question,likert_5,keep,
W2,v55_7,question,likert_5,keep,
W2,v55_8,question,likert_5,keep,
W2,v55_9,question,likert_5,keep,
W2,v55_10,question,likert_5,keep,
W2,v55_11,question,likert_5,keep,
W2,v55_12,question,likert_5,keep,
W2,v55_13,question,likert_5,keep,
W2,v55_14,question,likert_5,keep,
W2,v56_1,question,likert_7,keep,
W2,v56_2,question,likert_7,keep,
W2,v56_3,question,likert_7,keep,
W2,v56_4,question,likert_7,keep,
W2,v56_5,question,likert_7,keep,
W2,v56_6,question,likert_7,keep,
W2,v57_1,question,ordinal_numeric,keep,
W2,v57_2,question,ordinal_numeric,keep,
W2,v57_3,question,ordinal_numeric,keep,
W2,v57_4,question,ordinal_numeric,keep,
W2,v57_5,question,ordinal_numeric,keep,
W2,v58_1h,question,ordinal_numeric,keep,
W2,v58_1m,question,numeric,keep,
W2,v58_2h,question,ordinal_numeric,keep,
W2,v58_2m,question,numeric,keep,
W2,v59_1h,question,numeric,keep,
W2,v59_1m,question,numeric,keep,
W2,v59_2h,question,numeric,keep,
W2,v59_2m,question,numeric,keep,
W2,v59_3h,question,categorical,keep,
W2,v59_3m,question,numeric,keep,
W2,v59_4h,question,categorical,keep,
W2,v59_4m,question,numeric,keep,
W2,v59_5,question,likert_4,keep,
W2,v60_1,question,ordinal_numeric,keep,
W2,v60_2,question,ordinal_numeric,keep,
W2,v61,question,numeric,keep,
W2,v62,question,numeric,keep,
W2,v63,question,ordinal_numeric,keep,
