Column Name,Unique Value Count,Value,Proposed_Numeric_Code
5.過去一年，請問你家長和你相處情形如何？ - 5-5. 對你不聞不問。,4,從未,1.0
5.過去一年，請問你家長和你相處情形如何？ - 5-5. 對你不聞不問。,4,有時,3.0
5.過去一年，請問你家長和你相處情形如何？ - 5-5. 對你不聞不問。,4,經常,4.0
5.過去一年，請問你家長和你相處情形如何？ - 5-6. 跟你常有衝突，彼此關係緊張。,4,偶爾,2.0
5.過去一年，請問你家長和你相處情形如何？ - 5-6. 跟你常有衝突，彼此關係緊張。,4,從未,1.0
5.過去一年，請問你家長和你相處情形如何？ - 5-6. 跟你常有衝突，彼此關係緊張。,4,有時,3.0
5.過去一年，請問你家長和你相處情形如何？ - 5-6. 跟你常有衝突，彼此關係緊張。,4,經常,4.0
5.過去一年，請問你家長和你相處情形如何？ - 5-7. 知道你每天的行蹤。,4,偶爾,2.0
5.過去一年，請問你家長和你相處情形如何？ - 5-7. 知道你每天的行蹤。,4,從未,1.0
5.過去一年，請問你家長和你相處情形如何？ - 5-7. 知道你每天的行蹤。,4,有時,3.0
5.過去一年，請問你家長和你相處情形如何？ - 5-7. 知道你每天的行蹤。,4,經常,4.0
5.過去一年，請問你家長和你相處情形如何？ - 5-8. 同樣一件事，他們有時處罰小孩，有時不處罰。,4,偶爾,2.0
5.過去一年，請問你家長和你相處情形如何？ - 5-8. 同樣一件事，他們有時處罰小孩，有時不處罰。,4,從未,1.0
5.過去一年，請問你家長和你相處情形如何？ - 5-8. 同樣一件事，他們有時處罰小孩，有時不處罰。,4,有時,3.0
5.過去一年，請問你家長和你相處情形如何？ - 5-8. 同樣一件事，他們有時處罰小孩，有時不處罰。,4,經常,4.0
5.過去一年，請問你家長和你相處情形如何？ - 5-9. 處罰你時會打你。,4,偶爾,2.0
5.過去一年，請問你家長和你相處情形如何？ - 5-9. 處罰你時會打你。,4,從未,1.0
5.過去一年，請問你家長和你相處情形如何？ - 5-9. 處罰你時會打你。,4,有時,3.0
5.過去一年，請問你家長和你相處情形如何？ - 5-9. 處罰你時會打你。,4,經常,4.0
5.過去一年，請問你家長和你相處情形如何？ - 5-10.有關你的事，會告訴你他們的想法。,4,偶爾,2.0
5.過去一年，請問你家長和你相處情形如何？ - 5-10.有關你的事，會告訴你他們的想法。,4,從未,1.0
5.過去一年，請問你家長和你相處情形如何？ - 5-10.有關你的事，會告訴你他們的想法。,4,有時,3.0
5.過去一年，請問你家長和你相處情形如何？ - 5-10.有關你的事，會告訴你他們的想法。,4,經常,4.0
6.下列有關你們班上的說法，你認為符不符合目前的狀況？ - 6-1.當我需要他們的時候，我的同學們總是會適時伸出援手,3,不太符合,2.0
6.下列有關你們班上的說法，你認為符不符合目前的狀況？ - 6-1.當我需要他們的時候，我的同學們總是會適時伸出援手,3,很不符合,1.0
6.下列有關你們班上的說法，你認為符不符合目前的狀況？ - 6-1.當我需要他們的時候，我的同學們總是會適時伸出援手,3,很符合,4.0
6.下列有關你們班上的說法，你認為符不符合目前的狀況？ - 6-2.當班上的同學需要我的時候，我總是會適時伸出援手,3,不太符合,2.0
6.下列有關你們班上的說法，你認為符不符合目前的狀況？ - 6-2.當班上的同學需要我的時候，我總是會適時伸出援手,3,很不符合,1.0
6.下列有關你們班上的說法，你認為符不符合目前的狀況？ - 6-2.當班上的同學需要我的時候，我總是會適時伸出援手,3,很符合,4.0
6.下列有關你們班上的說法，你認為符不符合目前的狀況？ - 6-3.與其他班級比較，我們班的同學彼此之間，最互相信賴,3,不太符合,2.0
6.下列有關你們班上的說法，你認為符不符合目前的狀況？ - 6-3.與其他班級比較，我們班的同學彼此之間，最互相信賴,3,很不符合,1.0
6.下列有關你們班上的說法，你認為符不符合目前的狀況？ - 6-3.與其他班級比較，我們班的同學彼此之間，最互相信賴,3,很符合,4.0
9.你上學期的平均成績大約如何？,5,全班三十名以後,1.0
9.你上學期的平均成績大約如何？,5,全班二十一至三十名,2.0
9.你上學期的平均成績大約如何？,5,全班五名以內,5.0
9.你上學期的平均成績大約如何？,5,全班六至十名,4.0
9.你上學期的平均成績大約如何？,5,全班十一至二十名,3.0
10.上九年級以來，你有沒有參加校外補習（包含家教與家教班）？,2,有,1.0
10.上九年級以來，你有沒有參加校外補習（包含家教與家教班）？,2,沒有,0.0
10-1.你補那幾科？【可複選】-(1)數學,2,有,1.0
10-1.你補那幾科？【可複選】-(1)數學,2,沒有,0.0
10-1.你補那幾科？【可複選】-(2)英語,2,有,1.0
10-1.你補那幾科？【可複選】-(2)英語,2,沒有,0.0
10-1.你補那幾科？【可複選】-(3)理化,2,有,1.0
10-1.你補那幾科？【可複選】-(3)理化,2,沒有,0.0
10-1.你補那幾科？【可複選】-(4)國文,2,有,1.0
10-1.你補那幾科？【可複選】-(4)國文,2,沒有,0.0
10-1.你補那幾科？【可複選】-(5)社會（史、地、公）,2,有,1.0
10-1.你補那幾科？【可複選】-(5)社會（史、地、公）,2,沒有,0.0
10-1.你補那幾科？【可複選】-(6)資訊/電腦,2,有,1.0
10-1.你補那幾科？【可複選】-(6)資訊/電腦,2,沒有,0.0
10-1.你補那幾科？【可複選】-(7)地科,2,有,1.0
10-1.你補那幾科？【可複選】-(7)地科,2,沒有,0.0
10-1.你補那幾科？【可複選】-(8)其他,2,有,1.0
10-1.你補那幾科？【可複選】-(8)其他,2,沒有,0.0
其他,45,(High Cardinality - Skipped),
11.請問以下敘述是否符合對你家長的情形？ - 11-1.家長知道我在學校主要的授課老師是誰,3,不太符合,2.0
11.請問以下敘述是否符合對你家長的情形？ - 11-1.家長知道我在學校主要的授課老師是誰,3,很不符合,1.0
11.請問以下敘述是否符合對你家長的情形？ - 11-1.家長知道我在學校主要的授課老師是誰,3,很符合,4.0
11.請問以下敘述是否符合對你家長的情形？ - 11-2.家長知道我在學校的學習狀況 (例如:是否跟得上進度?),3,不太符合,2.0
11.請問以下敘述是否符合對你家長的情形？ - 11-2.家長知道我在學校的學習狀況 (例如:是否跟得上進度?),3,很不符合,1.0
11.請問以下敘述是否符合對你家長的情形？ - 11-2.家長知道我在學校的學習狀況 (例如:是否跟得上進度?),3,很符合,4.0
11.請問以下敘述是否符合對你家長的情形？ - 11-3.家長會參加學校的家長會/學校日,3,不太符合,2.0
11.請問以下敘述是否符合對你家長的情形？ - 11-3.家長會參加學校的家長會/學校日,3,很不符合,1.0
11.請問以下敘述是否符合對你家長的情形？ - 11-3.家長會參加學校的家長會/學校日,3,很符合,4.0
11.請問以下敘述是否符合對你家長的情形？ - 11-4.家長會為班上的活動或設備出錢出力,3,不太符合,2.0
11.請問以下敘述是否符合對你家長的情形？ - 11-4.家長會為班上的活動或設備出錢出力,3,很不符合,1.0
11.請問以下敘述是否符合對你家長的情形？ - 11-4.家長會為班上的活動或設備出錢出力,3,很符合,4.0
11.請問以下敘述是否符合對你家長的情形？ - 11-5.家長會到學校擔任義工/志工/晚自習輪值,3,不太符合,2.0
11.請問以下敘述是否符合對你家長的情形？ - 11-5.家長會到學校擔任義工/志工/晚自習輪值,3,很不符合,1.0
11.請問以下敘述是否符合對你家長的情形？ - 11-5.家長會到學校擔任義工/志工/晚自習輪值,3,很符合,4.0
11.請問以下敘述是否符合對你家長的情形？ - 11-6.家長會花時間在我的學校功課上,3,不太符合,2.0
11.請問以下敘述是否符合對你家長的情形？ - 11-6.家長會花時間在我的學校功課上,3,很不符合,1.0
11.請問以下敘述是否符合對你家長的情形？ - 11-6.家長會花時間在我的學校功課上,3,很符合,4.0
11.請問以下敘述是否符合對你家長的情形？ - 11-7.家長會幫我買課本以外的評量、測驗卷等補充教材,3,不太符合,2.0
11.請問以下敘述是否符合對你家長的情形？ - 11-7.家長會幫我買課本以外的評量、測驗卷等補充教材,3,很不符合,1.0
11.請問以下敘述是否符合對你家長的情形？ - 11-7.家長會幫我買課本以外的評量、測驗卷等補充教材,3,很符合,4.0
11.請問以下敘述是否符合對你家長的情形？ - 11-8.家長會上網幫我搜尋相關的教學材料、教學平台或升學資訊,3,不太符合,2.0
11.請問以下敘述是否符合對你家長的情形？ - 11-8.家長會上網幫我搜尋相關的教學材料、教學平台或升學資訊,3,很不符合,1.0
11.請問以下敘述是否符合對你家長的情形？ - 11-8.家長會上網幫我搜尋相關的教學材料、教學平台或升學資訊,3,很符合,4.0
12.升上國九後，家裡有沒有因為你要升學而改變一些安排？ - 12-1.提供你好的讀書空間,3,有改變，比以前多,3.0
12.升上國九後，家裡有沒有因為你要升學而改變一些安排？ - 12-1.提供你好的讀書空間,3,有改變，比以前少,1.0
12.升上國九後，家裡有沒有因為你要升學而改變一些安排？ - 12-1.提供你好的讀書空間,3,沒有改變，原本就這樣,2.0
12.升上國九後，家裡有沒有因為你要升學而改變一些安排？ - 12-2.為你進補（藥補或食補）,3,有改變，比以前多,3.0
12.升上國九後，家裡有沒有因為你要升學而改變一些安排？ - 12-2.為你進補（藥補或食補）,3,有改變，比以前少,1.0
12.升上國九後，家裡有沒有因為你要升學而改變一些安排？ - 12-2.為你進補（藥補或食補）,3,沒有改變，原本就這樣,2.0
12.升上國九後，家裡有沒有因為你要升學而改變一些安排？ - 12-3.特別注意你和朋友的往來,3,有改變，比以前多,3.0
12.升上國九後，家裡有沒有因為你要升學而改變一些安排？ - 12-3.特別注意你和朋友的往來,3,有改變，比以前少,1.0
12.升上國九後，家裡有沒有因為你要升學而改變一些安排？ - 12-3.特別注意你和朋友的往來,3,沒有改變，原本就這樣,2.0
12.升上國九後，家裡有沒有因為你要升學而改變一些安排？ - 12-4.控制你使用手機或上網,3,有改變，比以前多,3.0
12.升上國九後，家裡有沒有因為你要升學而改變一些安排？ - 12-4.控制你使用手機或上網,3,有改變，比以前少,1.0
12.升上國九後，家裡有沒有因為你要升學而改變一些安排？ - 12-4.控制你使用手機或上網,3,沒有改變，原本就這樣,2.0
12.升上國九後，家裡有沒有因為你要升學而改變一些安排？ - 12-5.限制你出遊或玩樂的時間,3,有改變，比以前多,3.0
12.升上國九後，家裡有沒有因為你要升學而改變一些安排？ - 12-5.限制你出遊或玩樂的時間,3,有改變，比以前少,1.0
12.升上國九後，家裡有沒有因為你要升學而改變一些安排？ - 12-5.限制你出遊或玩樂的時間,3,沒有改變，原本就這樣,2.0
12.升上國九後，家裡有沒有因為你要升學而改變一些安排？ - 12-6.規定你的生活作息,3,有改變，比以前多,3.0
12.升上國九後，家裡有沒有因為你要升學而改變一些安排？ - 12-6.規定你的生活作息,3,有改變，比以前少,1.0
12.升上國九後，家裡有沒有因為你要升學而改變一些安排？ - 12-6.規定你的生活作息,3,沒有改變，原本就這樣,2.0
12.升上國九後，家裡有沒有因為你要升學而改變一些安排？ - 12-7.要求其他家人多讓你一些,3,有改變，比以前多,3.0
12.升上國九後，家裡有沒有因為你要升學而改變一些安排？ - 12-7.要求其他家人多讓你一些,3,有改變，比以前少,1.0
12.升上國九後，家裡有沒有因為你要升學而改變一些安排？ - 12-7.要求其他家人多讓你一些,3,沒有改變，原本就這樣,2.0
12.升上國九後，家裡有沒有因為你要升學而改變一些安排？ - 12-8.父母本身使用手機、上網或看電視的時間,3,有改變，比以前多,3.0
12.升上國九後，家裡有沒有因為你要升學而改變一些安排？ - 12-8.父母本身使用手機、上網或看電視的時間,3,有改變，比以前少,1.0
12.升上國九後，家裡有沒有因為你要升學而改變一些安排？ - 12-8.父母本身使用手機、上網或看電視的時間,3,沒有改變，原本就這樣,2.0
12.升上國九後，家裡有沒有因為你要升學而改變一些安排？ - 12-9.父母本身的社交休閒活動,3,有改變，比以前多,3.0
12.升上國九後，家裡有沒有因為你要升學而改變一些安排？ - 12-9.父母本身的社交休閒活動,3,有改變，比以前少,1.0
12.升上國九後，家裡有沒有因為你要升學而改變一些安排？ - 12-9.父母本身的社交休閒活動,3,沒有改變，原本就這樣,2.0
12.升上國九後，家裡有沒有因為你要升學而改變一些安排？ - 12-10.父母陪伴你的時間,3,有改變，比以前多,3.0
12.升上國九後，家裡有沒有因為你要升學而改變一些安排？ - 12-10.父母陪伴你的時間,3,有改變，比以前少,1.0
12.升上國九後，家裡有沒有因為你要升學而改變一些安排？ - 12-10.父母陪伴你的時間,3,沒有改變，原本就這樣,2.0
13.你會因為將來的升學問題而感覺有壓力嗎？,2,不會,0.0
13.你會因為將來的升學問題而感覺有壓力嗎？,2,會,1.0
14.你父母有沒有跟你討論過升學的事情？,2,有,1.0
14.你父母有沒有跟你討論過升學的事情？,2,沒有,0.0
14-1.你們討論過哪些相關事情？【可複選】-(1)要唸什麼學校,2,有,1.0
14-1.你們討論過哪些相關事情？【可複選】-(1)要唸什麼學校,2,沒有,0.0
14-1.你們討論過哪些相關事情？【可複選】-(2)要加強的科目,2,有,1.0
14-1.你們討論過哪些相關事情？【可複選】-(2)要加強的科目,2,沒有,0.0
14-1.你們討論過哪些相關事情？【可複選】-(3)如何安排學習進度,2,有,1.0
14-1.你們討論過哪些相關事情？【可複選】-(3)如何安排學習進度,2,沒有,0.0
14-1.你們討論過哪些相關事情？【可複選】-(4)要如何準備申請,2,有,1.0
14-1.你們討論過哪些相關事情？【可複選】-(4)要如何準備申請,2,沒有,0.0
14-1.你們討論過哪些相關事情？【可複選】-(5)如何調節情緒壓力,2,有,1.0
14-1.你們討論過哪些相關事情？【可複選】-(5)如何調節情緒壓力,2,沒有,0.0
14-1.你們討論過哪些相關事情？【可複選】-(6)有什麼獎勵,2,有,1.0
14-1.你們討論過哪些相關事情？【可複選】-(6)有什麼獎勵,2,沒有,0.0
14-1.你們討論過哪些相關事情？【可複選】-(7)其他,2,有,1.0
14-1.你們討論過哪些相關事情？【可複選】-(7)其他,2,沒有,0.0
其他.1,63,(High Cardinality - Skipped),
15.你的父母親希望你唸到什麼樣的程度？,7,不知道,0.0
15.你的父母親希望你唸到什麼樣的程度？,7,博士畢業,6.0
15.你的父母親希望你唸到什麼樣的程度？,7,國中畢業,1.0
15.你的父母親希望你唸到什麼樣的程度？,7,大學或技術學院畢業（四技、二技）,4.0
15.你的父母親希望你唸到什麼樣的程度？,7,專科畢業（五專、二專）,3.0
15.你的父母親希望你唸到什麼樣的程度？,7,碩士畢業,5.0
15.你的父母親希望你唸到什麼樣的程度？,7,高中（職）畢業,2.0
16.以你目前的狀況，你認為自己最可能上哪一類學校？,7,不知道,0.0
16.以你目前的狀況，你認為自己最可能上哪一類學校？,7,公立高中,2.0
16.以你目前的狀況，你認為自己最可能上哪一類學校？,7,專科,3.0
16.以你目前的狀況，你認為自己最可能上哪一類學校？,7,我不打算繼續升學,0.0
16.以你目前的狀況，你認為自己最可能上哪一類學校？,7,私立高中,2.0
16.以你目前的狀況，你認為自己最可能上哪一類學校？,7,軍校,2.0
16.以你目前的狀況，你認為自己最可能上哪一類學校？,7,高職,2.0
17.如果可以不受任何條件限制，你覺得你可以讀到什麼程度？,7,其他，請說明,0.0
17.如果可以不受任何條件限制，你覺得你可以讀到什麼程度？,7,博士畢業,6.0
17.如果可以不受任何條件限制，你覺得你可以讀到什麼程度？,7,國中畢業,1.0
17.如果可以不受任何條件限制，你覺得你可以讀到什麼程度？,7,大學或技術學院畢業（四技、二技）,4.0
17.如果可以不受任何條件限制，你覺得你可以讀到什麼程度？,7,專科畢業（五專、二專）,3.0
17.如果可以不受任何條件限制，你覺得你可以讀到什麼程度？,7,碩士畢業,5.0
17.如果可以不受任何條件限制，你覺得你可以讀到什麼程度？,7,高中（職）畢業,2.0
其他.2,41,(High Cardinality - Skipped),
18.就你目前的環境和能力，你覺得你可以讀到什麼程度？,7,其他，請說明,0.0
18.就你目前的環境和能力，你覺得你可以讀到什麼程度？,7,博士畢業,6.0
18.就你目前的環境和能力，你覺得你可以讀到什麼程度？,7,國中畢業,1.0
18.就你目前的環境和能力，你覺得你可以讀到什麼程度？,7,大學或技術學院畢業（四技、二技）,4.0
18.就你目前的環境和能力，你覺得你可以讀到什麼程度？,7,專科畢業（五專、二專）,3.0
18.就你目前的環境和能力，你覺得你可以讀到什麼程度？,7,碩士畢業,5.0
18.就你目前的環境和能力，你覺得你可以讀到什麼程度？,7,高中（職）畢業,2.0
其他.3,30,(High Cardinality - Skipped),
19-1.關於上網，請問你爸爸有沒有以下的情形？,1,沒有,0.0
  - 19-1-1.會規定你什麼時候可以上網，什麼時候不行,4,偶爾,2.0
  - 19-1-1.會規定你什麼時候可以上網，什麼時候不行,4,從未,1.0
  - 19-1-1.會規定你什麼時候可以上網，什麼時候不行,4,有時,3.0
  - 19-1-1.會規定你什麼時候可以上網，什麼時候不行,4,經常,4.0
  - 19-1-2.會限制你上網時間的長短,4,偶爾,2.0
  - 19-1-2.會限制你上網時間的長短,4,從未,1.0
  - 19-1-2.會限制你上網時間的長短,4,有時,3.0
  - 19-1-2.會限制你上網時間的長短,4,經常,4.0
  - 19-1-3.會和你一起聊網路上發生的趣聞或事件,4,偶爾,2.0
  - 19-1-3.會和你一起聊網路上發生的趣聞或事件,4,從未,1.0
  - 19-1-3.會和你一起聊網路上發生的趣聞或事件,4,有時,3.0
  - 19-1-3.會和你一起聊網路上發生的趣聞或事件,4,經常,4.0
  - 19-1-4.會陪你一起上網查資料或做作業,4,偶爾,2.0
  - 19-1-4.會陪你一起上網查資料或做作業,4,從未,1.0
  - 19-1-4.會陪你一起上網查資料或做作業,4,有時,3.0
  - 19-1-4.會陪你一起上網查資料或做作業,4,經常,4.0
  - 19-1-5.會鼓勵你上網,4,偶爾,2.0
  - 19-1-5.會鼓勵你上網,4,從未,1.0
  - 19-1-5.會鼓勵你上網,4,有時,3.0
  - 19-1-5.會鼓勵你上網,4,經常,4.0
  - 19-1-6.會和你討論使用網路的情形和心得,4,偶爾,2.0
  - 19-1-6.會和你討論使用網路的情形和心得,4,從未,1.0
  - 19-1-6.會和你討論使用網路的情形和心得,4,有時,3.0
  - 19-1-6.會和你討論使用網路的情形和心得,4,經常,4.0
  - 19-1-7.擔心你上網會產生健康問題（如:眼睛、體能）,4,偶爾,2.0
  - 19-1-7.擔心你上網會產生健康問題（如:眼睛、體能）,4,從未,1.0
  - 19-1-7.擔心你上網會產生健康問題（如:眼睛、體能）,4,有時,3.0
  - 19-1-7.擔心你上網會產生健康問題（如:眼睛、體能）,4,經常,4.0
  - 19-1-8.擔心你課業成績會因為上網而有不好影響,4,偶爾,2.0
  - 19-1-8.擔心你課業成績會因為上網而有不好影響,4,從未,1.0
  - 19-1-8.擔心你課業成績會因為上網而有不好影響,4,有時,3.0
  - 19-1-8.擔心你課業成績會因為上網而有不好影響,4,經常,4.0
  - 19-1-9.會問你在網上做什麼,4,偶爾,2.0
  - 19-1-9.會問你在網上做什麼,4,從未,1.0
  - 19-1-9.會問你在網上做什麼,4,有時,3.0
  - 19-1-9.會問你在網上做什麼,4,經常,4.0
  - 19-1-10.會查看你的網頁瀏覽記錄,4,偶爾,2.0
  - 19-1-10.會查看你的網頁瀏覽記錄,4,從未,1.0
  - 19-1-10.會查看你的網頁瀏覽記錄,4,有時,3.0
  - 19-1-10.會查看你的網頁瀏覽記錄,4,經常,4.0
  - 19-1-11.會因為你上網而責罵你,4,偶爾,2.0
  - 19-1-11.會因為你上網而責罵你,4,從未,1.0
  - 19-1-11.會因為你上網而責罵你,4,有時,3.0
  - 19-1-11.會因為你上網而責罵你,4,經常,4.0
  - 19-1-12.會因為你在網路購物而和你起衝突,4,偶爾,2.0
  - 19-1-12.會因為你在網路購物而和你起衝突,4,從未,1.0
  - 19-1-12.會因為你在網路購物而和你起衝突,4,有時,3.0
  - 19-1-12.會因為你在網路購物而和你起衝突,4,經常,4.0
19-2.關於上網，請問你媽媽有沒有以下的情形？,1,沒有,0.0
  - 19-2-1.會規定你什麼時候可以上網，什麼時候不行,4,偶爾,2.0
  - 19-2-1.會規定你什麼時候可以上網，什麼時候不行,4,從未,1.0
  - 19-2-1.會規定你什麼時候可以上網，什麼時候不行,4,有時,3.0
  - 19-2-1.會規定你什麼時候可以上網，什麼時候不行,4,經常,4.0
  - 19-2-2.會限制你上網時間的長短,4,偶爾,2.0
  - 19-2-2.會限制你上網時間的長短,4,從未,1.0
  - 19-2-2.會限制你上網時間的長短,4,有時,3.0
  - 19-2-2.會限制你上網時間的長短,4,經常,4.0
  - 19-2-3.會和你一起聊網路上發生的趣聞或事件,4,偶爾,2.0
  - 19-2-3.會和你一起聊網路上發生的趣聞或事件,4,從未,1.0
  - 19-2-3.會和你一起聊網路上發生的趣聞或事件,4,有時,3.0
  - 19-2-3.會和你一起聊網路上發生的趣聞或事件,4,經常,4.0
  - 19-2-4.會陪你一起上網查資料或做作業,4,偶爾,2.0
  - 19-2-4.會陪你一起上網查資料或做作業,4,從未,1.0
  - 19-2-4.會陪你一起上網查資料或做作業,4,有時,3.0
  - 19-2-4.會陪你一起上網查資料或做作業,4,經常,4.0
  - 19-2-5.會鼓勵你上網,4,偶爾,2.0
  - 19-2-5.會鼓勵你上網,4,從未,1.0
  - 19-2-5.會鼓勵你上網,4,有時,3.0
  - 19-2-5.會鼓勵你上網,4,經常,4.0
  - 19-2-6.會和你討論使用網路的情形和心得,4,偶爾,2.0
  - 19-2-6.會和你討論使用網路的情形和心得,4,從未,1.0
  - 19-2-6.會和你討論使用網路的情形和心得,4,有時,3.0
  - 19-2-6.會和你討論使用網路的情形和心得,4,經常,4.0
  - 19-2-7.擔心你上網會產生健康問題（如:眼睛、體能）,4,偶爾,2.0
  - 19-2-7.擔心你上網會產生健康問題（如:眼睛、體能）,4,從未,1.0
  - 19-2-7.擔心你上網會產生健康問題（如:眼睛、體能）,4,有時,3.0
  - 19-2-7.擔心你上網會產生健康問題（如:眼睛、體能）,4,經常,4.0
  - 19-2-8.擔心你課業成績會因為上網而有不好影響,4,偶爾,2.0
  - 19-2-8.擔心你課業成績會因為上網而有不好影響,4,從未,1.0
  - 19-2-8.擔心你課業成績會因為上網而有不好影響,4,有時,3.0
  - 19-2-8.擔心你課業成績會因為上網而有不好影響,4,經常,4.0
  - 19-2-9.會問你在網上做什麼,4,偶爾,2.0
  - 19-2-9.會問你在網上做什麼,4,從未,1.0
  - 19-2-9.會問你在網上做什麼,4,有時,3.0
  - 19-2-9.會問你在網上做什麼,4,經常,4.0
  - 19-2-10.會查看你的網頁瀏覽記錄,4,偶爾,2.0
  - 19-2-10.會查看你的網頁瀏覽記錄,4,從未,1.0
  - 19-2-10.會查看你的網頁瀏覽記錄,4,有時,3.0
  - 19-2-10.會查看你的網頁瀏覽記錄,4,經常,4.0
  - 19-2-11.會因為你上網而責罵你,4,偶爾,2.0
  - 19-2-11.會因為你上網而責罵你,4,從未,1.0
  - 19-2-11.會因為你上網而責罵你,4,有時,3.0
  - 19-2-11.會因為你上網而責罵你,4,經常,4.0
  - 19-2-12.會因為你在網路購物而和你起衝突,4,偶爾,2.0
  - 19-2-12.會因為你在網路購物而和你起衝突,4,從未,1.0
