student_id,class_source_raw,class_numeric_final,parse_method,conversion_stage
s112011301081,805,805,numeric_integer,numeric_integer
s112011301082,805,805,numeric_integer,numeric_integer
s112011301083,805,805,numeric_integer,numeric_integer
s112011301084,805,805,numeric_integer,numeric_integer
s112011301085,805,805,numeric_integer,numeric_integer
s112011301086,805,805,numeric_integer,numeric_integer
s112011301087,805,805,numeric_integer,numeric_integer
s112011301088,805,805,numeric_integer,numeric_integer
s112011301089,805,805,numeric_integer,numeric_integer
s112011301090,805,805,numeric_integer,numeric_integer
s112011301094,805,805,numeric_integer,numeric_integer
s113011301005,805,805,numeric_integer,numeric_integer
s112011306023,108,108,numeric_integer,numeric_integer
s112011306024,108,108,numeric_integer,numeric_integer
s112011306025,108,108,numeric_integer,numeric_integer
s112011306026,108,108,numeric_integer,numeric_integer
s112011306027,108,108,numeric_integer,numeric_integer
s112011306028,108,108,numeric_integer,numeric_integer
s112011306029,108,108,numeric_integer,numeric_integer
s112011306030,108,108,numeric_integer,numeric_integer
s112011306031,108,108,numeric_integer,numeric_integer
s112011306032,108,108,numeric_integer,numeric_integer
s112011306033,108,108,numeric_integer,numeric_integer
s112011306034,108,108,numeric_integer,numeric_integer
s112011306035,108,108,numeric_integer,numeric_integer
s112011306036,108,108,numeric_integer,numeric_integer
s112011306037,108,108,numeric_integer,numeric_integer
s112011306038,108,108,numeric_integer,numeric_integer
s112011306039,108,108,numeric_integer,numeric_integer
s112011306040,108,108,numeric_integer,numeric_integer
s112011306042,108,108,numeric_integer,numeric_integer
s112011306043,108,108,numeric_integer,numeric_integer
s112011306044,108,108,numeric_integer,numeric_integer
s112011306045,108,108,numeric_integer,numeric_integer
s112011306046,108,108,numeric_integer,numeric_integer
s112011306047,108,108,numeric_integer,numeric_integer
s112011306048,108,108,numeric_integer,numeric_integer
s112011306049,108,108,numeric_integer,numeric_integer
s112011306050,108,108,numeric_integer,numeric_integer
s112011306051,108,108,numeric_integer,numeric_integer
s112011306052,108,108,numeric_integer,numeric_integer
s112011306053,108,108,numeric_integer,numeric_integer
s112011306054,108,108,numeric_integer,numeric_integer
s112011306055,108,108,numeric_integer,numeric_integer
s112011306056,108,108,numeric_integer,numeric_integer
s112011306057,108,108,numeric_integer,numeric_integer
s112011306058,108,108,numeric_integer,numeric_integer
s112011306059,108,108,numeric_integer,numeric_integer
s112011324024,國二忠,1132401,unparsed,school_label_encoded_fallback
s112011324025,國二忠,1132401,unparsed,school_label_encoded_fallback
s112011324026,國二忠,1132401,unparsed,school_label_encoded_fallback
s112011324027,國二忠,1132401,unparsed,school_label_encoded_fallback
s112011324028,國二忠,1132401,unparsed,school_label_encoded_fallback
s112011324029,國二忠,1132401,unparsed,school_label_encoded_fallback
s112011324030,國二忠,1132401,unparsed,school_label_encoded_fallback
s112011324031,國二忠,1132401,unparsed,school_label_encoded_fallback
s112011324032,國二忠,1132401,unparsed,school_label_encoded_fallback
s112011324033,國二忠,1132401,unparsed,school_label_encoded_fallback
s112011324034,國二忠,1132401,unparsed,school_label_encoded_fallback
s112011324035,國二忠,1132401,unparsed,school_label_encoded_fallback
s112011324036,國二忠,1132401,unparsed,school_label_encoded_fallback
s112011324037,國二忠,1132401,unparsed,school_label_encoded_fallback
s112011324038,國二忠,1132401,unparsed,school_label_encoded_fallback
s112011324039,國二忠,1132401,unparsed,school_label_encoded_fallback
s112011324040,國二忠,1132401,unparsed,school_label_encoded_fallback
s112011324041,國二忠,1132401,unparsed,school_label_encoded_fallback
s112011324042,國二忠,1132401,unparsed,school_label_encoded_fallback
s112011324043,國二忠,1132401,unparsed,school_label_encoded_fallback
s112011324044,國二忠,1132401,unparsed,school_label_encoded_fallback
s112011324045,國二忠,1132401,unparsed,school_label_encoded_fallback
s112011324046,國二忠,1132401,unparsed,school_label_encoded_fallback
s112011324047,國二忠,1132401,unparsed,school_label_encoded_fallback
s112011324048,國二忠,1132401,unparsed,school_label_encoded_fallback
s112011324049,國二忠,1132401,unparsed,school_label_encoded_fallback
s112011324050,國二忠,1132401,unparsed,school_label_encoded_fallback
s112011324051,國二忠,1132401,unparsed,school_label_encoded_fallback
s112011324052,國二忠,1132401,unparsed,school_label_encoded_fallback
s112011324053,國二忠,1132401,unparsed,school_label_encoded_fallback
s112011324054,國二忠,1132401,unparsed,school_label_encoded_fallback
s112011324055,國二忠,1132401,unparsed,school_label_encoded_fallback
s112011324056,國二忠,1132401,unparsed,school_label_encoded_fallback
s112011324057,國二忠,1132401,unparsed,school_label_encoded_fallback
s112011324058,國二忠,1132401,unparsed,school_label_encoded_fallback
s112011324059,國二忠,1132401,unparsed,school_label_encoded_fallback
s112011324060,國二忠,1132401,unparsed,school_label_encoded_fallback
s112011324061,國二忠,1132401,unparsed,school_label_encoded_fallback
s112011324062,國二忠,1132401,unparsed,school_label_encoded_fallback
s112011324063,國二忠,1132401,unparsed,school_label_encoded_fallback
s112011324066,國二義,1132402,unparsed,school_label_encoded_fallback
s112011324067,國二義,1132402,unparsed,school_label_encoded_fallback
s112011324068,國二義,1132402,unparsed,school_label_encoded_fallback
s112011324069,國二義,1132402,unparsed,school_label_encoded_fallback
s112011324070,國二義,1132402,unparsed,school_label_encoded_fallback
s112011324071,國二義,1132402,unparsed,school_label_encoded_fallback
s112011324073,國二義,1132402,unparsed,school_label_encoded_fallback
s112011324074,國二義,1132402,unparsed,school_label_encoded_fallback
s112011324075,國二義,1132402,unparsed,school_label_encoded_fallback
s112011324076,國二義,1132402,unparsed,school_label_encoded_fallback
s112011324077,國二義,1132402,unparsed,school_label_encoded_fallback
s112011324078,國二義,1132402,unparsed,school_label_encoded_fallback
s112011324079,國二義,1132402,unparsed,school_label_encoded_fallback
s112011324080,國二義,1132402,unparsed,school_label_encoded_fallback
s112011324081,國二義,1132402,unparsed,school_label_encoded_fallback
s112011324082,國二義,1132402,unparsed,school_label_encoded_fallback
s112011324083,國二義,1132402,unparsed,school_label_encoded_fallback
s112011324084,國二義,1132402,unparsed,school_label_encoded_fallback
s112011324085,國二義,1132402,unparsed,school_label_encoded_fallback
s112011324086,國二義,1132402,unparsed,school_label_encoded_fallback
s112011324087,國二義,1132402,unparsed,school_label_encoded_fallback
s112011324088,國二義,1132402,unparsed,school_label_encoded_fallback
s112011324089,國二義,1132402,unparsed,school_label_encoded_fallback
s112011324090,國二義,1132402,unparsed,school_label_encoded_fallback
s112011324091,國二義,1132402,unparsed,school_label_encoded_fallback
s112011324092,國二義,1132402,unparsed,school_label_encoded_fallback
s112011324093,國二義,1132402,unparsed,school_label_encoded_fallback
s112011324094,國二義,1132402,unparsed,school_label_encoded_fallback
s112011324095,國二義,1132402,unparsed,school_label_encoded_fallback
s112011324096,國二義,1132402,unparsed,school_label_encoded_fallback
s112011324097,國二義,1132402,unparsed,school_label_encoded_fallback
s112011324098,國二義,1132402,unparsed,school_label_encoded_fallback
s112011324099,國二義,1132402,unparsed,school_label_encoded_fallback
s112014302024,806,806,numeric_integer,numeric_integer
s112014302026,806,806,numeric_integer,numeric_integer
s112014302027,806,806,numeric_integer,numeric_integer
s112014302028,806,806,numeric_integer,numeric_integer
s112014302029,806,806,numeric_integer,numeric_integer
s112014302030,806,806,numeric_integer,numeric_integer
s112014302031,806,806,numeric_integer,numeric_integer
s112014302032,806,806,numeric_integer,numeric_integer
s112014302033,806,806,numeric_integer,numeric_integer
s112014302034,806,806,numeric_integer,numeric_integer
s112014302035,806,806,numeric_integer,numeric_integer
s112014302036,806,806,numeric_integer,numeric_integer
s112014302037,806,806,numeric_integer,numeric_integer
s112014302038,806,806,numeric_integer,numeric_integer
s112014302040,806,806,numeric_integer,numeric_integer
s112014302041,806,806,numeric_integer,numeric_integer
s112014302042,806,806,numeric_integer,numeric_integer
s112014302043,806,806,numeric_integer,numeric_integer
s112014302044,806,806,numeric_integer,numeric_integer
s112014302045,806,806,numeric_integer,numeric_integer
s112014302046,806,806,numeric_integer,numeric_integer
s112014302047,806,806,numeric_integer,numeric_integer
s112014302048,806,806,numeric_integer,numeric_integer
s112014302049,806,806,numeric_integer,numeric_integer
s112014302050,806,806,numeric_integer,numeric_integer
s112014302051,806,806,numeric_integer,numeric_integer
s112014302053,806,806,numeric_integer,numeric_integer
s112014302054,806,806,numeric_integer,numeric_integer
s112014302057,820,820,numeric_integer,numeric_integer
s112014302058,820,820,numeric_integer,numeric_integer
s112014302059,820,820,numeric_integer,numeric_integer
s112014302060,820,820,numeric_integer,numeric_integer
s112014302061,820,820,numeric_integer,numeric_integer
s112014302062,820,820,numeric_integer,numeric_integer
s112014302063,820,820,numeric_integer,numeric_integer
s112014302064,820,820,numeric_integer,numeric_integer
s112014302066,820,820,numeric_integer,numeric_integer
s112014302067,820,820,numeric_integer,numeric_integer
s112014302068,820,820,numeric_integer,numeric_integer
s112014302069,820,820,numeric_integer,numeric_integer
s112014302070,820,820,numeric_integer,numeric_integer
s112014302071,820,820,numeric_integer,numeric_integer
s112014302072,820,820,numeric_integer,numeric_integer
s112014302073,820,820,numeric_integer,numeric_integer
s112014302074,820,820,numeric_integer,numeric_integer
s112014302075,820,820,numeric_integer,numeric_integer
s112014302076,820,820,numeric_integer,numeric_integer
s112014302077,820,820,numeric_integer,numeric_integer
s112014302078,820,820,numeric_integer,numeric_integer
s112014302079,820,820,numeric_integer,numeric_integer
s112014302080,820,820,numeric_integer,numeric_integer
s112014302081,820,820,numeric_integer,numeric_integer
s112014302083,820,820,numeric_integer,numeric_integer
s112014302084,820,820,numeric_integer,numeric_integer
s112014302085,820,820,numeric_integer,numeric_integer
s112014322024,805,805,numeric_integer,numeric_integer
s112014322025,805,805,numeric_integer,numeric_integer
s112014322026,805,805,numeric_integer,numeric_integer
s112014322027,805,805,numeric_integer,numeric_integer
s112014322028,805,805,numeric_integer,numeric_integer
s112014322029,805,805,numeric_integer,numeric_integer
s112014322030,805,805,numeric_integer,numeric_integer
s112014322031,805,805,numeric_integer,numeric_integer
s112014322032,805,805,numeric_integer,numeric_integer
s112014322033,805,805,numeric_integer,numeric_integer
s112014322034,805,805,numeric_integer,numeric_integer
s112014322035,805,805,numeric_integer,numeric_integer
s112014322036,805,805,numeric_integer,numeric_integer
s112014322039,805,805,numeric_integer,numeric_integer
s112014322040,805,805,numeric_integer,numeric_integer
s112014322041,805,805,numeric_integer,numeric_integer
s112014322042,805,805,numeric_integer,numeric_integer
s112014322043,805,805,numeric_integer,numeric_integer
s112014322044,805,805,numeric_integer,numeric_integer
s112014322045,805,805,numeric_integer,numeric_integer
s112014322046,805,805,numeric_integer,numeric_integer
s112014322047,805,805,numeric_integer,numeric_integer
s112014322048,805,805,numeric_integer,numeric_integer
s112014322049,805,805,numeric_integer,numeric_integer
s112014322052,811,811,numeric_integer,numeric_integer
s112014322053,811,811,numeric_integer,numeric_integer
s112014322054,811,811,numeric_integer,numeric_integer
s112014322055,811,811,numeric_integer,numeric_integer
s112014322056,811,811,numeric_integer,numeric_integer
s112014322057,811,811,numeric_integer,numeric_integer
s112014322058,811,811,numeric_integer,numeric_integer
s112014322059,811,811,numeric_integer,numeric_integer
s112014322060,811,811,numeric_integer,numeric_integer
s112014322061,811,811,numeric_integer,numeric_integer
s112014322062,811,811,numeric_integer,numeric_integer
s112014322063,811,811,numeric_integer,numeric_integer
s112014322064,811,811,numeric_integer,numeric_integer
s112014322065,811,811,numeric_integer,numeric_integer
s112014322066,811,811,numeric_integer,numeric_integer
s112014322067,811,811,numeric_integer,numeric_integer
s112014322068,811,811,numeric_integer,numeric_integer
s112014322069,811,811,numeric_integer,numeric_integer
s112014322070,811,811,numeric_integer,numeric_integer
s112014322071,811,811,numeric_integer,numeric_integer
s112014322072,811,811,numeric_integer,numeric_integer
s112014322073,811,811,numeric_integer,numeric_integer
s112014322074,811,811,numeric_integer,numeric_integer
s112014322075,811,811,numeric_integer,numeric_integer
s112014322076,811,811,numeric_integer,numeric_integer
s112014322077,811,811,numeric_integer,numeric_integer
s112014322078,811,811,numeric_integer,numeric_integer
s112014332025,805,805,numeric_integer,numeric_integer
s112014332026,805,805,numeric_integer,numeric_integer
s112014332027,805,805,numeric_integer,numeric_integer
s112014332028,805,805,numeric_integer,numeric_integer
s112014332029,805,805,numeric_integer,numeric_integer
s112014332030,805,805,numeric_integer,numeric_integer
s112014332031,805,805,numeric_integer,numeric_integer
s112014332032,805,805,numeric_integer,numeric_integer
s112014332033,805,805,numeric_integer,numeric_integer
s112014332034,805,805,numeric_integer,numeric_integer
s112014332035,805,805,numeric_integer,numeric_integer
s112014332036,805,805,numeric_integer,numeric_integer
s112014332037,805,805,numeric_integer,numeric_integer
s112014332038,805,805,numeric_integer,numeric_integer
s112014332039,805,805,numeric_integer,numeric_integer
s112014332040,805,805,numeric_integer,numeric_integer
s112014332041,805,805,numeric_integer,numeric_integer
s112014332042,805,805,numeric_integer,numeric_integer
s112014332043,805,805,numeric_integer,numeric_integer
s112014332044,805,805,numeric_integer,numeric_integer
s112014332045,805,805,numeric_integer,numeric_integer
s112014332046,805,805,numeric_integer,numeric_integer
s112014332047,805,805,numeric_integer,numeric_integer
s112014332048,805,805,numeric_integer,numeric_integer
s112014332049,805,805,numeric_integer,numeric_integer
s112014332052,811,811,numeric_integer,numeric_integer
s112014332053,811,811,numeric_integer,numeric_integer
s112014332054,811,811,numeric_integer,numeric_integer
s112014332055,811,811,numeric_integer,numeric_integer
s112014332056,811,811,numeric_integer,numeric_integer
s112014332058,811,811,numeric_integer,numeric_integer
s112014332059,811,811,numeric_integer,numeric_integer
s112014332060,811,811,numeric_integer,numeric_integer
s112014332061,811,811,numeric_integer,numeric_integer
s112014332062,811,811,numeric_integer,numeric_integer
s112014332063,811,811,numeric_integer,numeric_integer
s112014332064,811,811,numeric_integer,numeric_integer
s112014332065,811,811,numeric_integer,numeric_integer
s112014332066,811,811,numeric_integer,numeric_integer
s112014332068,811,811,numeric_integer,numeric_integer
s112014332069,811,811,numeric_integer,numeric_integer
s112014332070,811,811,numeric_integer,numeric_integer
s112014332071,811,811,numeric_integer,numeric_integer
s112014332072,811,811,numeric_integer,numeric_integer
s112014332073,811,811,numeric_integer,numeric_integer
s112014332075,811,811,numeric_integer,numeric_integer
s112014332076,811,811,numeric_integer,numeric_integer
s112014332077,811,811,numeric_integer,numeric_integer
s112014332078,811,811,numeric_integer,numeric_integer
s112014332079,811,811,numeric_integer,numeric_integer
s112014332080,811,811,numeric_integer,numeric_integer
s112014332081,811,811,numeric_integer,numeric_integer
s112014332082,811,811,numeric_integer,numeric_integer
s112014356024,801,801,numeric_integer,numeric_integer
s112014356025,801,801,numeric_integer,numeric_integer
s112014356026,801,801,numeric_integer,numeric_integer
s112014356027,801,801,numeric_integer,numeric_integer
s112014356028,801,801,numeric_integer,numeric_integer
s112014356029,801,801,numeric_integer,numeric_integer
s112014356030,801,801,numeric_integer,numeric_integer
s112014356031,801,801,numeric_integer,numeric_integer
s112014356032,801,801,numeric_integer,numeric_integer
s112014356033,801,801,numeric_integer,numeric_integer
s112014356034,801,801,numeric_integer,numeric_integer
s112014356036,801,801,numeric_integer,numeric_integer
s112014356037,801,801,numeric_integer,numeric_integer
s112014356038,801,801,numeric_integer,numeric_integer
s112014356039,801,801,numeric_integer,numeric_integer
s112014356040,801,801,numeric_integer,numeric_integer
s112014356041,801,801,numeric_integer,numeric_integer
s112014356042,801,801,numeric_integer,numeric_integer
s112014356043,801,801,numeric_integer,numeric_integer
s112014356044,801,801,numeric_integer,numeric_integer
s112014356045,801,801,numeric_integer,numeric_integer
s112014356046,801,801,numeric_integer,numeric_integer
s112014356047,801,801,numeric_integer,numeric_integer
s112014356048,801,801,numeric_integer,numeric_integer
s112014356049,801,801,numeric_integer,numeric_integer
s112014356050,801,801,numeric_integer,numeric_integer
s113014356003,801,801,numeric_integer,numeric_integer
s113014356004,801,801,numeric_integer,numeric_integer
s112014356051,806,806,numeric_integer,numeric_integer
s112014356052,806,806,numeric_integer,numeric_integer
s112014356053,806,806,numeric_integer,numeric_integer
s112014356054,806,806,numeric_integer,numeric_integer
s112014356056,806,806,numeric_integer,numeric_integer
s112014356057,806,806,numeric_integer,numeric_integer
s112014356059,806,806,numeric_integer,numeric_integer
s112014356060,806,806,numeric_integer,numeric_integer
s112014356061,806,806,numeric_integer,numeric_integer
s112014356062,806,806,numeric_integer,numeric_integer
s112014356063,806,806,numeric_integer,numeric_integer
s112014356065,806,806,numeric_integer,numeric_integer
s112014356066,806,806,numeric_integer,numeric_integer
s112014356068,806,806,numeric_integer,numeric_integer
s112014356070,806,806,numeric_integer,numeric_integer
s112014356071,806,806,numeric_integer,numeric_integer
s112014356072,806,806,numeric_integer,numeric_integer
s112014356073,806,806,numeric_integer,numeric_integer
s112014356074,806,806,numeric_integer,numeric_integer
s112014356075,806,806,numeric_integer,numeric_integer
s112014356076,806,806,numeric_integer,numeric_integer
s113014356005,806,806,numeric_integer,numeric_integer
s112014364024,802,802,numeric_integer,numeric_integer
s112014364025,802,802,numeric_integer,numeric_integer
s112014364026,802,802,numeric_integer,numeric_integer
s112014364027,802,802,numeric_integer,numeric_integer
s112014364028,802,802,numeric_integer,numeric_integer
s112014364029,802,802,numeric_integer,numeric_integer
s112014364030,802,802,numeric_integer,numeric_integer
s112014364031,802,802,numeric_integer,numeric_integer
s112014364032,802,802,numeric_integer,numeric_integer
s112014364033,802,802,numeric_integer,numeric_integer
s112014364034,802,802,numeric_integer,numeric_integer
s112014364035,802,802,numeric_integer,numeric_integer
s112014364036,802,802,numeric_integer,numeric_integer
s112014364037,802,802,numeric_integer,numeric_integer
s112014364039,802,802,numeric_integer,numeric_integer
s112014364040,802,802,numeric_integer,numeric_integer
s112014364041,802,802,numeric_integer,numeric_integer
s112014364042,802,802,numeric_integer,numeric_integer
s112014364043,802,802,numeric_integer,numeric_integer
s112014364044,802,802,numeric_integer,numeric_integer
s112014364045,802,802,numeric_integer,numeric_integer
s112014364046,802,802,numeric_integer,numeric_integer
s112014364047,802,802,numeric_integer,numeric_integer
s112014364048,802,802,numeric_integer,numeric_integer
s112014364049,802,802,numeric_integer,numeric_integer
s112014364050,802,802,numeric_integer,numeric_integer
s113014364003,802,802,numeric_integer,numeric_integer
s112014364053,806,806,numeric_integer,numeric_integer
s112014364054,806,806,numeric_integer,numeric_integer
s112014364055,806,806,numeric_integer,numeric_integer
s112014364056,806,806,numeric_integer,numeric_integer
s112014364058,806,806,numeric_integer,numeric_integer
s112014364059,806,806,numeric_integer,numeric_integer
s112014364060,806,806,numeric_integer,numeric_integer
s112014364061,806,806,numeric_integer,numeric_integer
s112014364062,806,806,numeric_integer,numeric_integer
s112014364063,806,806,numeric_integer,numeric_integer
s112014364064,806,806,numeric_integer,numeric_integer
s112014364065,806,806,numeric_integer,numeric_integer
s112014364066,806,806,numeric_integer,numeric_integer
s112014364067,806,806,numeric_integer,numeric_integer
s112014364068,806,806,numeric_integer,numeric_integer
s112014364069,806,806,numeric_integer,numeric_integer
s112014364070,806,806,numeric_integer,numeric_integer
s112014364071,806,806,numeric_integer,numeric_integer
s112014364073,806,806,numeric_integer,numeric_integer
s112014364074,806,806,numeric_integer,numeric_integer
s112014364075,806,806,numeric_integer,numeric_integer
s112014364076,806,806,numeric_integer,numeric_integer
s112014364077,806,806,numeric_integer,numeric_integer
s112014364078,806,806,numeric_integer,numeric_integer
s112014364079,806,806,numeric_integer,numeric_integer
s112014364080,806,806,numeric_integer,numeric_integer
s112014505024,814,814,numeric_integer,numeric_integer
s112014505025,814,814,numeric_integer,numeric_integer
s112014505026,814,814,numeric_integer,numeric_integer
s112014505027,814,814,numeric_integer,numeric_integer
s112014505028,814,814,numeric_integer,numeric_integer
s112014505029,814,814,numeric_integer,numeric_integer
s112014505030,814,814,numeric_integer,numeric_integer
s112014505031,814,814,numeric_integer,numeric_integer
s112014505032,814,814,numeric_integer,numeric_integer
s112014505033,814,814,numeric_integer,numeric_integer
s112014505034,814,814,numeric_integer,numeric_integer
s112014505035,814,814,numeric_integer,numeric_integer
s112014505036,814,814,numeric_integer,numeric_integer
s112014505037,814,814,numeric_integer,numeric_integer
s112014505038,814,814,numeric_integer,numeric_integer
s112014505039,814,814,numeric_integer,numeric_integer
s112014505040,814,814,numeric_integer,numeric_integer
s112014505041,814,814,numeric_integer,numeric_integer
s112014505042,814,814,numeric_integer,numeric_integer
s112014505043,814,814,numeric_integer,numeric_integer
s112014505045,814,814,numeric_integer,numeric_integer
s112014505046,814,814,numeric_integer,numeric_integer
s112014505047,814,814,numeric_integer,numeric_integer
s112014505048,814,814,numeric_integer,numeric_integer
s112014505049,814,814,numeric_integer,numeric_integer
s112014505051,814,814,numeric_integer,numeric_integer
s112014505052,814,814,numeric_integer,numeric_integer
s112014505053,814,814,numeric_integer,numeric_integer
s112014505054,814,814,numeric_integer,numeric_integer
s112014505055,814,814,numeric_integer,numeric_integer
s112014505058,829,829,numeric_integer,numeric_integer
s112014505059,829,829,numeric_integer,numeric_integer
s112014505060,829,829,numeric_integer,numeric_integer
s112014505062,829,829,numeric_integer,numeric_integer
s112014505063,829,829,numeric_integer,numeric_integer
s112014505064,829,829,numeric_integer,numeric_integer
s112014505065,829,829,numeric_integer,numeric_integer
s112014505066,829,829,numeric_integer,numeric_integer
s112014505067,829,829,numeric_integer,numeric_integer
s112014505069,829,829,numeric_integer,numeric_integer
s112014505070,829,829,numeric_integer,numeric_integer
s112014505071,829,829,numeric_integer,numeric_integer
s112014505072,829,829,numeric_integer,numeric_integer
s112014505073,829,829,numeric_integer,numeric_integer
s112014505074,829,829,numeric_integer,numeric_integer
s112014505075,829,829,numeric_integer,numeric_integer
s112014505076,829,829,numeric_integer,numeric_integer
s112014505077,829,829,numeric_integer,numeric_integer
s112014505078,829,829,numeric_integer,numeric_integer
s112014505079,829,829,numeric_integer,numeric_integer
s112014505080,829,829,numeric_integer,numeric_integer
s112014505081,829,829,numeric_integer,numeric_integer
s112014505082,829,829,numeric_integer,numeric_integer
s112014505083,829,829,numeric_integer,numeric_integer
s112014505084,829,829,numeric_integer,numeric_integer
s112014505085,829,829,numeric_integer,numeric_integer
s112014505086,829,829,numeric_integer,numeric_integer
s112014509024,807,807,numeric_integer,numeric_integer
s112014509025,807,807,numeric_integer,numeric_integer
s112014509026,807,807,numeric_integer,numeric_integer
s112014509027,807,807,numeric_integer,numeric_integer
s112014509028,807,807,numeric_integer,numeric_integer
s112014509029,807,807,numeric_integer,numeric_integer
s112014509030,807,807,numeric_integer,numeric_integer
s112014509031,807,807,numeric_integer,numeric_integer
s112014509032,807,807,numeric_integer,numeric_integer
s112014509033,807,807,numeric_integer,numeric_integer
s112014509034,807,807,numeric_integer,numeric_integer
s112014509035,807,807,numeric_integer,numeric_integer
s112014509036,807,807,numeric_integer,numeric_integer
s112014509037,807,807,numeric_integer,numeric_integer
s112014509038,807,807,numeric_integer,numeric_integer
s112014509039,807,807,numeric_integer,numeric_integer
s112014509041,807,807,numeric_integer,numeric_integer
s112014509042,807,807,numeric_integer,numeric_integer
s112014509043,807,807,numeric_integer,numeric_integer
s112014509044,807,807,numeric_integer,numeric_integer
s112014509045,807,807,numeric_integer,numeric_integer
s112014509046,807,807,numeric_integer,numeric_integer
s112014509047,807,807,numeric_integer,numeric_integer
s112014509048,807,807,numeric_integer,numeric_integer
s112014509050,807,807,numeric_integer,numeric_integer
s112014509051,807,807,numeric_integer,numeric_integer
s112014509055,815,815,numeric_integer,numeric_integer
s112014509056,815,815,numeric_integer,numeric_integer
s112014509057,815,815,numeric_integer,numeric_integer
s112014509058,815,815,numeric_integer,numeric_integer
s112014509060,815,815,numeric_integer,numeric_integer
s112014509061,815,815,numeric_integer,numeric_integer
s112014509062,815,815,numeric_integer,numeric_integer
s112014509063,815,815,numeric_integer,numeric_integer
s112014509064,815,815,numeric_integer,numeric_integer
s112014509065,815,815,numeric_integer,numeric_integer
s112014509066,815,815,numeric_integer,numeric_integer
s112014509067,815,815,numeric_integer,numeric_integer
s112014509068,815,815,numeric_integer,numeric_integer
s112014509069,815,815,numeric_integer,numeric_integer
s112014509070,815,815,numeric_integer,numeric_integer
s112014509071,815,815,numeric_integer,numeric_integer
s112014509072,815,815,numeric_integer,numeric_integer
s112014509073,815,815,numeric_integer,numeric_integer
s112014509074,815,815,numeric_integer,numeric_integer
s112014509075,815,815,numeric_integer,numeric_integer
s112014509076,815,815,numeric_integer,numeric_integer
s112014509077,815,815,numeric_integer,numeric_integer
s112014509078,815,815,numeric_integer,numeric_integer
s112014510024,801,801,numeric_integer,numeric_integer
s112014510025,801,801,numeric_integer,numeric_integer
s112014510026,801,801,numeric_integer,numeric_integer
s112014510027,801,801,numeric_integer,numeric_integer
s112014510028,801,801,numeric_integer,numeric_integer
s112014510029,801,801,numeric_integer,numeric_integer
s112014510030,801,801,numeric_integer,numeric_integer
s112014510031,801,801,numeric_integer,numeric_integer
s112014510032,801,801,numeric_integer,numeric_integer
s112014510033,801,801,numeric_integer,numeric_integer
s112014510034,801,801,numeric_integer,numeric_integer
s112014510035,801,801,numeric_integer,numeric_integer
s112014510036,801,801,numeric_integer,numeric_integer
s112014510037,801,801,numeric_integer,numeric_integer
s112014510038,801,801,numeric_integer,numeric_integer
s112014510039,801,801,numeric_integer,numeric_integer
s112014510040,801,801,numeric_integer,numeric_integer
