題號,題目
v39_7,[v39_7]上八年級以來，你曾在網路上遇到這樣的事情嗎？ (7)假冒我的社交帳號或是電子郵件，在網路上發布不實訊息
v40,[v40]上八年級以來，你曾在網路上，對別人辱罵、惡意取笑、拒絕加入討論、散布丟臉的影片、發布不實訊息等事情嗎？
v41_1,[v41_1]上八年級以來，你曾在網路上對別人做過這樣的事嗎？ (1)用髒話罵或威脅某人
v41_2,[v41_2]上八年級以來，你曾在網路上對別人做過這樣的事嗎？ (2)說某人的壞話
v41_3,[v41_3]上八年級以來，你曾在網路上對別人做過這樣的事嗎？ (3)不讓某人加入討論
v41_4,[v41_4]上八年級以來，你曾在網路上對別人做過這樣的事嗎？ (4)嘲笑某人的外貌、言行舉止
v41_5,[v41_5]上八年級以來，你曾在網路上對別人做過這樣的事嗎？ (5)嘲笑某人喜歡某個人
v41_6,[v41_6]上八年級以來，你曾在網路上對別人做過這樣的事嗎？ (6)在網路散布使某人丟臉的照片或影片
v41_7,[v41_7]上八年級以來，你曾在網路上對別人做過這樣的事嗎？ (7)用某人的社交帳號或是電子郵件，發布不實的訊息給其他人
v42_01,[v42_01]過去6個月以來，請問你有沒有做過下列的事情？（複選題） (1)考試作弊
v42_02,[v42_02]過去6個月以來，請問你有沒有做過下列的事情？（複選題） (2)離家出走
v42_03,[v42_03]過去6個月以來，請問你有沒有做過下列的事情？（複選題） (3)蹺課或逃學
v42_04,[v42_04]過去6個月以來，請問你有沒有做過下列的事情？（複選題） (4)偷拿別人的東西
v42_05,[v42_05]過去6個月以來，請問你有沒有做過下列的事情？（複選題） (5)故意破壞別人的東西
v42_06,[v42_06]過去6個月以來，請問你有沒有做過下列的事情？（複選題） (6)蓄意打傷別人
v42_07,[v42_07]過去6個月以來，請問你有沒有做過下列的事情？（複選題） (7)抽紙菸（香菸）
v42_08,[v42_08]過去6個月以來，請問你有沒有做過下列的事情？（複選題） (8)抽電子菸
v42_09,[v42_09]過去6個月以來，請問你有沒有做過下列的事情？（複選題） (9)喝酒
v42_10,[v42_10]過去6個月以來，請問你有沒有做過下列的事情？（複選題） (10)嚼檳榔
v42_11,[v42_11]過去6個月以來，請問你有沒有做過下列的事情？（複選題） (11)收聽或觀看盜版的音樂與影片
v42_12,[v42_12]過去6個月以來，請問你有沒有做過下列的事情？（複選題） (12)下載非法軟體
v42_13,[v42_13]過去6個月以來，請問你有沒有做過下列的事情？（複選題） (13)深夜不回家在外遊蕩
v42_14,[v42_14]過去6個月以來，請問你有沒有做過下列的事情？（複選題） (14)以上皆非
v43_1,[v43_1]請問你有多常會遇到下面的狀況？ (1)對我來說，要取得與使用3C產品(手機、電腦、平板)的費用太高
v43_2,[v43_2]請問你有多常會遇到下面的狀況？ (2)對我來說，使用網路要付的費用太貴
v44_1,[v44_1]以下有關使用手機或上網的原因，你同不同意？ (1)是打發時間的好方法
v44_2,[v44_2]以下有關使用手機或上網的原因，你同不同意？ (2)可以讓我找到和連接我覺得對我中意或磁場相合的人
v44_3,[v44_3]以下有關使用手機或上網的原因，你同不同意？ (3)提升我在讀書學習或完成任務的表現
v44_4,[v44_4]以下有關使用手機或上網的原因，你同不同意？ (4)讓我知道運動、演唱會、或各種娛樂活動的最新訊息
v44_5,[v44_5]以下有關使用手機或上網的原因，你同不同意？ (5)讓我可以分享我的好點子或我做的東西
v45_1,[v45_1]以下敘述符不符合你的上網學習情形？ (1)讀書或寫作業時，我會先將無關的網站、即時通訊、手機APP或提醒聲音關掉
v45_2,[v45_2]以下敘述符不符合你的上網學習情形？ (2)我能要求自己先完成作業或讀書進度後，才能去看我喜歡的網站或玩手機
v45_3,[v45_3]以下敘述符不符合你的上網學習情形？ (3)我會運用學習平台上的儀表板，了解自己的認真或表現情況（如：目前得分、作業缺交、影片觀看記錄、相對於全班的表現等）
v45_4,[v45_4]以下敘述符不符合你的上網學習情形？ (4)我會運用學習平台以外的軟體來安排我的學習進度（如：時間安排-Google日曆、專注-Forrest、備忘錄-Notion、閃字卡-Anki等）
v46_1,[v46_1]關於電腦與網路的操作，你使用情形如何？ (1)我會運用定位服務找到我要的資訊（地圖導航、交通、美食等）
v46_2,[v46_2]關於電腦與網路的操作，你使用情形如何？ (2)我定期更換密碼（手機、平版、電腦、IG、抖音、DCARD等）
v46_3,[v46_3]關於電腦與網路的操作，你使用情形如何？ (3)同學、閨密、或親朋好友知道我的密碼
v47_1,[v47_1]以下關於媒體網站的運用敘述，你同不同意？ (1)我能判斷適合找到最好答案的關鍵字
v47_2,[v47_2]以下關於媒體網站的運用敘述，你同不同意？ (2)我能快速找到我曾拜訪過的網站
v47_3,[v47_3]以下關於媒體網站的運用敘述，你同不同意？ (3)我很清楚自己正在觀看特定網站或使用特定app的目的
v47_4,[v47_4]以下關於媒體網站的運用敘述，你同不同意？ (4)我清楚哪些訊息可以在網路上公開分享，哪些不行
v47_5,[v47_5]以下關於媒體網站的運用敘述，你同不同意？ (5)我能注意上網時給出的評語是不是恰當
v47_6,[v47_6]以下關於媒體網站的運用敘述，你同不同意？ (6)貼文和傳照片影片時，我會視情況設定要分享給誰看到
v47_7,[v47_7]以下關於媒體網站的運用敘述，你同不同意？ (7)我能從網路找到其他人的影音，進行二次創作或改編
v47_8,[v47_8]以下關於媒體網站的運用敘述，你同不同意？ (8)我能根據網頁/影音所屬的著作權規範（如創用cc）來運用找到的素材
v47_9,[v47_9]以下關於媒體網站的運用敘述，你同不同意？ (9)我能將所製作的影片/網頁/圖片上傳到雲端空間
v48_01,[v48_01]學校的資訊科技課程教學內容包含(可複選)： (1)計算機基本概念：介紹計算機的基本組成，如硬件（CPU、記憶體、儲存裝置等）和軟件（操作系統、應用程序）
v48_02,[v48_02]學校的資訊科技課程教學內容包含(可複選)： (2)基本電腦操作技能：教授學生如何使用作業系統（如Windows或macOS）、文書處理軟件（如Word）、表格軟件（如Excel）和簡報軟件（如PowerPoint）
v48_03,[v48_03]學校的資訊科技課程教學內容包含(可複選)： (3)程式設計與邏輯：學習使用網際網路，包括瀏覽器的使用、資訊搜尋技巧、以及網絡安全和隱私保護的基本知識
v48_04,[v48_04]學校的資訊科技課程教學內容包含(可複選)： (4)多媒體應用：學習如何使用各種多媒體工具，比如圖像編輯、音頻和視頻編輯軟件
v48_05,[v48_05]學校的資訊科技課程教學內容包含(可複選)： (5)資訊倫理與數位公民素養：討論網絡禮儀、數位版權、網絡欺凌以及在線行為的影響
v48_06,[v48_06]學校的資訊科技課程教學內容包含(可複選)： (6)基礎數據處理與分析：介紹如何收集、整理和簡單分析數據，可能使用表格軟件或其他基本工具
v48_07,[v48_07]學校的資訊科技課程教學內容包含(可複選)： (7)探索性資訊科技項目：鼓勵學生進行小型項目，應用所學知識解決實際問題或進行創意創作
v48_08,[v48_08]學校的資訊科技課程教學內容包含(可複選)： (8)以上皆非
v49,[v49]學校的科技領域課程對我的數位知識與能力有幫助
v50,[v50]整體來說，你對自己的生活感到滿意嗎？
v51,[v51]整體來說，你覺得最近的日子過得快樂嗎？
v52,[v52]整體而言，你覺得自己目前的健康狀況如何？
v52_1,[v52_1]下列是有關你對自己的描述，你同不同意？ (1)我是個有價值（有用）的人
v52_2,[v52_2]下列是有關你對自己的描述，你同不同意？ (2)我用積極樂觀的態度看待我自己
v52_3,[v52_3]下列是有關你對自己的描述，你同不同意？ (3)我很滿意我自己
v53_1,[v53_1]請依據你過去六個月的經驗與事實，回答以下各題 (1)我嘗試對別人友善，並關心他們的感受
v53_2,[v53_2]請依據你過去六個月的經驗與事實，回答以下各題 (2)我常與他人分享(食物、遊戲、筆等等)
v53_3,[v53_3]請依據你過去六個月的經驗與事實，回答以下各題 (3)如有人受傷、沮喪 或感到不適，我都樂意幫忙
v53_4,[v53_4]請依據你過去六個月的經驗與事實，回答以下各題 (4)我會友善地對待比我年紀小的孩子
v53_5,[v53_5]請依據你過去六個月的經驗與事實，回答以下各題 (5)我常自願幫助別人 (父母、老師、同學)
v54_1,[v54_1]你有多同意下列的敘述？ (1)當我緊張的時候，我可以感覺到身體的變化，如心跳加快
v54_2,[v54_2]你有多同意下列的敘述？ (2)當我的情緒讓我無法專注的時候，我會感覺到
v54_3,[v54_3]你有多同意下列的敘述？ (3)我可以感受到自己的情緒
v54_4,[v54_4]你有多同意下列的敘述？ (4)當我難過的時候，我知道如何讓自己感覺好一點
v54_5,[v54_5]你有多同意下列的敘述？ (5)我知道如何讓自己平靜下來
v54_6,[v54_6]你有多同意下列的敘述？ (6)當我感到沮喪時，我會調整自己以度過低潮
v54_7,[v54_7]你有多同意下列的敘述？ (7)我會為自己設定目標
v54_8,[v54_8]你有多同意下列的敘述？ (8)我會達成自己所設定的目標
v54_9,[v54_9]你有多同意下列的敘述？ (9)我會思考達到目標所需要採取的步驟
v54_10,[v54_10]你有多同意下列的敘述？ (10)我會跟同學好好的相處
v54_11,[v54_11]你有多同意下列的敘述？ (11)我會跟別人分享自己的感受或想法
v54_12,[v54_12]你有多同意下列的敘述？ (12)在學校有困難或問題時，我會找老師或認識的大人聊聊
v54_13,[v54_13]你有多同意下列的敘述？ (13)我會接納那些我不熟悉的人
v54_14,[v54_14]你有多同意下列的敘述？ (14)我從別人的臉部表情知道他們當時可能的感受
v54_15,[v54_15]你有多同意下列的敘述？ (15)我知道別人何時需要幫助
v54_16,[v54_16]你有多同意下列的敘述？ (16)當我跟同學相處有問題時，我知道如何尋求協助
v54_17,[v54_17]你有多同意下列的敘述？ (17)在做決定前，我預先思考之後可能發生的情況
v54_18,[v54_18]你有多同意下列的敘述？ (18)我知道哪些事情是對的、哪些事情是不對的
v54_19,[v54_19]你有多同意下列的敘述？ (19)我會去想不同的方法來解決問題
v54_20,[v54_20]你有多同意下列的敘述？ (20)當朋友或同學要違反規定時，我會告訴他們這是不對的
v55_1,[v55_1]請勾選在過去1到2週你感受到下列選項之頻率 (1)我的胃口?好
v55_2,[v55_2]請勾選在過去1到2週你感受到下列選項之頻率 (2)我的睡眠情況不好
v55_3,[v55_3]請勾選在過去1到2週你感受到下列選項之頻率 (3)我覺得悲傷
v55_4,[v55_4]請勾選在過去1到2週你感受到下列選項之頻率 (4)我覺得自己是一個壞人
v55_5,[v55_5]請勾選在過去1到2週你感受到下列選項之頻率 (5)我想傷害自己
v55_6,[v55_6]請勾選在過去1到2週你感受到下列選項之頻率 (6)我對平時有興趣做的事情?失去興趣
v55_7,[v55_7]請勾選在過去1到2週你感受到下列選項之頻率 (7)我覺得自己的行動太緩慢
v55_8,[v55_8]請勾選在過去1到2週你感受到下列選項之頻率 (8)我總是感到疲憊
v55_9,[v55_9]請勾選在過去1到2週你感受到下列選項之頻率 (9)我寧願自己已經死亡
v55_10,[v55_10]請勾選在過去1到2週你感受到下列選項之頻率 (10)我無法集中??做一些重要的事情
v55_11,[v55_11]請勾選在過去1到2週你感受到下列選項之頻率 (11)我覺得坐立不安
v55_12,[v55_12]請勾選在過去1到2週你感受到下列選項之頻率 (12)我覺得很寂寞(孤單、沒伴)
v55_13,[v55_13]請勾選在過去1到2週你感受到下列選項之頻率 (13)我感到緊張焦慮
v55_14,[v55_14]請勾選在過去1到2週你感受到下列選項之頻率 (14)我不能停止或是無法控制擔心
v56_1,[v56_1]請問你同不同意以下的敘述： (1)我的情緒只有我自己知道
v56_2,[v56_2]請問你同不同意以下的敘述： (2)我會用想別的事情的方式，來減少自己的負面情緒(例如:難過或生氣)
v56_3,[v56_3]請問你同不同意以下的敘述： (3)當我面對有壓力的情境時，我會往可以讓自己冷靜下來的方向來想這件事
v56_4,[v56_4]請問你同不同意以下的敘述： (4)我控制自己情緒的方法是不把它們表現出來
v56_5,[v56_5]請問你同不同意以下的敘述： (5)當我想讓自己有更正向的情緒，我會換個角度來想當下的狀況
v56_6,[v56_6]請問你同不同意以下的敘述： (6)當我感受到負向情緒時，我會努力不表現出來
v57_1,[v57_1]請問過去兩週中，你對以下敘述的感受程度？ (1)我感到情緒開朗且精神不錯
v57_2,[v57_2]請問過去兩週中，你對以下敘述的感受程度？ (2)我感到心情平靜和放鬆
v57_3,[v57_3]請問過去兩週中，你對以下敘述的感受程度？ (3)我感到有活力且精力充沛
v57_4,[v57_4]請問過去兩週中，你對以下敘述的感受程度？ (4)我醒來感到神清氣爽並有充分休息
v57_5,[v57_5]請問過去兩週中，你對以下敘述的感受程度？ (5)我的日常生活中充滿讓我感興趣的事物
v58_1h,[v58_1h]在需要上課的日子，你通常幾點到學校？
v58_1m,[v58_1m]在需要上課的日子，你通常幾點到學校？
v58_2h,[v58_2h]在需要上課的日子，你通常幾點離開學校？
v58_2m,[v58_2m]在需要上課的日子，你通常幾點離開學校？
v59_1h,[v59_1h]請問你過去一個月來的日常(大多數)睡眠習慣： (1)過去一個月來，在需要上課的日子，你通常幾點上床睡覺？時
v59_1m,[v59_1m]請問你過去一個月來的日常(大多數)睡眠習慣： (1)過去一個月來，在需要上課的日子，你通常幾點上床睡覺？分
v59_2h,[v59_2h]請問你過去一個月來的日常(大多數)睡眠習慣： (2)過去一個月來，在需要上課的日子，你通常幾點起床？時
v59_2m,[v59_2m]請問你過去一個月來的日常(大多數)睡眠習慣： (2)過去一個月來，在需要上課的日子，你通常幾點起床？分
v59_3h,[v59_3h]請問你過去一個月來的日常(大多數)睡眠習慣： (3)過去一個月來，在放假前一天或不需要上課的日子，你通常幾點上床睡覺？時
v59_3m,[v59_3m]請問你過去一個月來的日常(大多數)睡眠習慣： (3)過去一個月來，在放假前一天或不需要上課的日子，你通常幾點上床睡覺？分
v59_4h,[v59_4h]請問你過去一個月來的日常(大多數)睡眠習慣： (4)過去一個月來，在不需要上課的日子，你通常幾點起床？時
v59_4m,[v59_4m]請問你過去一個月來的日常(大多數)睡眠習慣： (4)過去一個月來，在不需要上課的日子，你通常幾點起床？分
v59_5,[v59_5]請問你過去一個月來的日常(大多數)睡眠習慣： (5)過去一個月來，你整體的睡眠品質好不好？
v60_1,[v60_1]過去一個月，請問以下飲料你平均一週七天喝多少？ (1)鋁箔包、樂利包或瓶裝的含糖飲料
v60_2,[v60_2]過去一個月，請問以下飲料你平均一週七天喝多少？ (2)手搖杯
v61,[v61]請問你的身高______公分（僅能填答阿拉伯數字）
v62,[v62]請問你的體重______公斤（僅能填答阿拉伯數字）
v63,[v63]請勾選出你認為最符合你目前體型的選項：
