Item,Correlation,Abs_Correlation,Question_Text
53-16,-0.2020714343364152,0.2020714343364152,53.你有多同意下列的敘述？ - 53-16.當我跟同學相處有問題時，我知道如何尋求協助。
29-5,0.2014713332495448,0.2014713332495448,29.關於上網，以下敘述符不符合你的情形？ - 29-5.平均而言，我每周上網休閒的時間比以前增加許多。
29-4,0.199399424011517,0.199399424011517,29.關於上網，以下敘述符不符合你的情形？ - 29-4.發現自己上網休閒的時間越來越長。
35-6,0.1993043912265225,0.1993043912265225,35.上九年級以來，你曾在網路上遇到這樣的事情嗎？ - 35-6.在網路散布使我丟臉的照片或影片。
5-2,-0.1975343471914208,0.1975343471914208,5.過去一年，請問你家長和你相處情形如何？ - 5-2. 理解你、肯定你的想法。
29-3,0.1948719413349559,0.1948719413349559,29.關於上網，以下敘述符不符合你的情形？ - 29-3.我只要超過一天沒上網玩，就會很難受。
35-1,0.1947586941205141,0.1947586941205141,35.上九年級以來，你曾在網路上遇到這樣的事情嗎？ - 35-1.別人用髒話罵或威脅我。
61-3,-0.1928371041278777,0.1928371041278777,61.請告訴我下列敘述符不符合你個人的情況？ - 61-3.做事時你能集中注意力。
28-1,0.1922082746092688,0.1922082746092688,28.你同不同意以下說法？ - 28-1.沒跟上朋友們在網路上聊天或開玩笑的話題，會讓我感到很焦慮。
34,0.189246851380698,0.189246851380698,34.上九年級以來，你曾在網路上，被其他人辱罵、惡意取笑、拒絕加入討論、散佈丟臉的影片、發佈不實的訊息嗎？
13,0.1883680518412808,0.1883680518412808,13.你會因為將來的升學問題而感覺有壓力嗎？
29-9,0.1838376215175188,0.1838376215175188,29.關於上網，以下敘述符不符合你的情形？ - 29-9.因為上網的關係，我和家人及朋友的互動減少了。
35-2,0.1837028183368175,0.1837028183368175,35.上九年級以來，你曾在網路上遇到這樣的事情嗎？ - 35-2.別人說我的壞話。
26-14,0.1836556396441238,0.1836556396441238,26.以下描述符不符合你的個人經驗感受呢？ - 26-14.我喜歡在網路上的生活，勝過於現實中的生活。
5-3,-0.1831716941052197,0.1831716941052197,5.過去一年，請問你家長和你相處情形如何？ - 5-3. 關心你。
31-3,0.1821425970374708,0.1821425970374708,31.上九年級以來，你曾在現實生活中(非網上)遇到這樣的事情嗎？ - 31-3.不讓我加入討論、活動或不准別人跟我說話、一起行動。
35-5,0.182112745910967,0.182112745910967,35.上九年級以來，你曾在網路上遇到這樣的事情嗎？ - 35-5.被嘲笑我喜歡某人。
53-9,-0.1818101333157366,0.1818101333157366,53.你有多同意下列的敘述？ - 53-9.我會思考達到目標所需要採取的步驟。
4-6,-0.1817522290997564,0.1817522290997564,4.下列關於你家中生活的情形，你認為符不符合？ - 4-6. 當我需要幫忙或忠告時，我可以依賴我的家人
5-5,0.1813346529118271,0.1813346529118271,5.過去一年，請問你家長和你相處情形如何？ - 5-5. 對你不聞不問。
53-7,-0.1806351354184167,0.1806351354184167,53.你有多同意下列的敘述？ - 53-7.我會為自己設定目標。
26-13,0.17834713329622,0.17834713329622,26.以下描述符不符合你的個人經驗感受呢？ - 26-13.比起在現實生活，我覺得自己在網路上比較輕鬆自在。
27-2,0.1757193998867396,0.1757193998867396,27.關於你在網路上的意見表達，以下敘述你同不同意？ - 27-2.我總是在網路上留意他人的表現，並和自己的表現進行比較。
43-2,0.1748076828824167,0.1748076828824167,43.關於生成式AI的使用，符不符合你的情形？ - 43-2. 會向生成式AI傾訴心事，來獲得支持或安慰。
29-7,0.1747477249667299,0.1747477249667299,29.關於上網，以下敘述符不符合你的情形？ - 29-7.上網對我的學業或工作已造成一些負面的影響。
28-2,0.1734683561924868,0.1734683561924868,28.你同不同意以下說法？ - 28-2.錯過和朋友們在網路上的聚會，會讓我感到很困擾。
53-10,-0.1732982968828157,0.1732982968828157,53.你有多同意下列的敘述？ - 53-10.我會跟同學好好的相處。
39_13,-0.1731829850307822,0.1731829850307822,
31-1,0.1724336678072544,0.1724336678072544,31.上九年級以來，你曾在現實生活中(非網上)遇到這樣的事情嗎？ - 31-1.別人用髒話罵或威脅我。
37-6,0.1718422108262932,0.1718422108262932,37.上九年級以來，你曾在網路上對別人做過這樣的事嗎？ - 37-6.在網路散布使某人丟臉的照片或影片。
5-4,-0.1713649969475722,0.1713649969475722,5.過去一年，請問你家長和你相處情形如何？ - 5-4. 提供解決問題的經驗，給你參考。
31-4,0.1709826677163165,0.1709826677163165,31.上九年級以來，你曾在現實生活中(非網上)遇到這樣的事情嗎？ - 31-4.被嘲笑外表或言行舉止。
4-1,-0.1705707334353572,0.1705707334353572,4.下列關於你家中生活的情形，你認為符不符合？ - 4-1. 作決定時，家人會彼此商量
37-2,0.170454495926614,0.170454495926614,37.上九年級以來，你曾在網路上對別人做過這樣的事嗎？ - 37-2.說某人的壞話。
35-3,0.1703183209759375,0.1703183209759375,35.上九年級以來，你曾在網路上遇到這樣的事情嗎？ - 35-3.不讓我加入討論。
53-20,-0.1695727215860032,0.1695727215860032,53.你有多同意下列的敘述？ - 53-20.當朋友或同學要違反規定時，我會告訴他們這是不對的。
53-11,-0.1675290415841815,0.1675290415841815,53.你有多同意下列的敘述？ - 53-11.我會跟別人分享自己的感受或想法。
11-2,-0.1652690924550761,0.1652690924550761,11.請問以下敘述是否符合對你家長的情形？ - 11-2.家長知道我在學校的學習狀況 (例如:是否跟得上進度?)
4-2,-0.16391734325016,0.16391734325016,4.下列關於你家中生活的情形，你認為符不符合？ - 4-2. 家人喜歡共度休閒時光
31-5,0.1624860678321587,0.1624860678321587,31.上九年級以來，你曾在現實生活中(非網上)遇到這樣的事情嗎？ - 31-5.被嘲笑我喜歡某個人。
1,0.1616487287748965,0.1616487287748965,1.請問你的性別（生理性別）：
61-1,-0.161302372248432,0.161302372248432,61.請告訴我下列敘述符不符合你個人的情況？ - 61-1.你不會因為休閒娛樂而耽誤應該要完成的功課或工作。
4-3,-0.1603508170028358,0.1603508170028358,4.下列關於你家中生活的情形，你認為符不符合？ - 4-3. 當有家庭活動時，我們家每個人都會參加
4-4,-0.1593950420106841,0.1593950420106841,4.下列關於你家中生活的情形，你認為符不符合？ - 4-4. 家人會接納彼此的朋友
32,0.158581041530041,0.158581041530041,32.上九年級以來，你曾在現實生活中(非網上)，對別人辱罵、惡意取笑、破壞或搶取東西、肢體攻擊、拒絕讓某個人加入討論或活動嗎？
60-5,-0.1585230790103264,0.1585230790103264,60.你同意以下敘述嗎？ - 60-5.批評別人之前，我會嘗試想像如果換做自己，在當下會有什麼感受
37-3,0.1582027811415844,0.1582027811415844,37.上九年級以來，你曾在網路上對別人做過這樣的事嗎？ - 37-3.不讓某人加入討論。
29-8,0.1576948752511173,0.1576948752511173,29.關於上網，以下敘述符不符合你的情形？ - 29-8.上網已經很明顯地危害到我的生理或心理健康。
61-2,-0.155223189458257,0.155223189458257,61.請告訴我下列敘述符不符合你個人的情況？ - 61-2.你不需要別人提醒就會自動去做功課或工作。
26-15,0.1540012959689001,0.1540012959689001,26.以下描述符不符合你的個人經驗感受呢？ - 26-15.如果可以，我希望自己可以一直待在網路上。
28-3,0.1538289754418677,0.1538289754418677,28.你同不同意以下說法？ - 28-3.我會隨時透過網路追蹤朋友們的行蹤和做的事情
26-11,0.1491125083917863,0.1491125083917863,26.以下描述符不符合你的個人經驗感受呢？ - 26-11.我覺得我在網路世界和現實世界中是不同的人。
37-5,0.1483887112076732,0.1483887112076732,37.上九年級以來，你曾在網路上對別人做過這樣的事嗎？ - 37-5.嘲笑某人喜歡某個人。
53-13,-0.1479190580017487,0.1479190580017487,53.你有多同意下列的敘述？ - 53-13.我會接納那些我不熟悉的人。
37-1,0.1467078552634493,0.1467078552634493,37.上九年級以來，你曾在網路上對別人做過這樣的事嗎？ - 37-1.用髒話罵或威脅某人。
38-6,0.1465854720785972,0.1465854720785972,38.上九年級以來，同學之間有時會發生衝突。當有同學被欺負時，請問你多常做以下的事情？ - 38-6.當有人被惡意排擠而無法分組或參加活動時，我不會多管閒事。
26-10,0.1460554402058295,0.1460554402058295,26.以下描述符不符合你的個人經驗感受呢？ - 26-10.我在網路上呈現自我的方式，與在現實生活的自我並不相同。
59,0.1456185987635142,0.1456185987635142,59. 我們的社會中，有一群人比較接近上層，有一群人比較接近下層。下面有一個由上到下的圖表，請問你認為自己的家庭最接近這個圖表裡面的哪一層？
5-10,-0.1437184607542605,0.1437184607542605,5.過去一年，請問你家長和你相處情形如何？ - 5-10.有關你的事，會告訴你他們的想法。
37-7,0.1433741988170555,0.1433741988170555,37.上九年級以來，你曾在網路上對別人做過這樣的事嗎？ - 37-7.用某人的社交帳號或是電子郵件，發佈不實的訊息給其他人。
5-8,0.1430031498205698,0.1430031498205698,5.過去一年，請問你家長和你相處情形如何？ - 5-8. 同樣一件事，他們有時處罰小孩，有時不處罰。
42_5,0.1429899570335155,0.1429899570335155,
38-8,0.1428652807410503,0.1428652807410503,38.上九年級以來，同學之間有時會發生衝突。當有同學被欺負時，請問你多常做以下的事情？ - 38-8.當同學被惡意嘲笑時，我會跟著一起嘲笑那個人。
38-10,0.1421848314329607,0.1421848314329607,38.上九年級以來，同學之間有時會發生衝突。當有同學被欺負時，請問你多常做以下的事情？ - 38-10.當同學被排擠而無法分組或參加活動時，我也不會跟這個同學一組。
60-1,-0.1384460206741222,0.1384460206741222,60.你同意以下敘述嗎？ - 60-1.做任何決定前，我會試著去了解每個人不同的意見
48,-0.1384287004973809,0.1384287004973809,48.學校的科技領域課程對我的數位知識與能力有幫助
33-1,0.1379287197939969,0.1379287197939969,33.上九年級以來，你曾在現實生活中(非網上)對別人做過這樣的事嗎？ - 33-1.用髒話罵或威脅某人。
36,0.1374376264958953,0.1374376264958953,36.上九年級以來，你曾在網路上，對別人辱罵、惡意取笑、拒絕加入討論、散佈丟臉的影片、發佈不實訊息等事情嗎？
38-4,0.1353385129298329,0.1353385129298329,38.上九年級以來，同學之間有時會發生衝突。當有同學被欺負時，請問你多常做以下的事情？ - 38-4.當別人嘲笑特定同學，我不會加入對話，或將這些內容傳給別人。
25-7,0.1348584422834795,0.1348584422834795,25. 關於你在社群媒體上的行為，以下敘述符不符合你的情況。 - 25-7.我會用不被發現的方式，瀏覽人們在網路上的訊息。
60-4,-0.1343648661386543,0.1343648661386543,60.你同意以下敘述嗎？ - 60-4.當我對某人感到失望時，我會先設身處地的為他想
6-3,-0.1326774481062718,0.1326774481062718,6.下列有關你們班上的說法，你認為符不符合目前的狀況？ - 6-3.與其他班級比較，我們班的同學彼此之間，最互相信賴
43-3,0.1320492034366067,0.1320492034366067,43.關於生成式AI的使用，符不符合你的情形？ - 43-3. 做事時總是想依賴生成式AI。
38-1,0.131654949546416,0.131654949546416,38.上九年級以來，同學之間有時會發生衝突。當有同學被欺負時，請問你多常做以下的事情？ - 38-1.當同學被惡意嘲笑時，我會幫忙被嘲笑的人。
63,0.1312947397235605,0.1312947397235605,63.過去一個月中，你平均每天喝多少次咖啡？
26-12,0.1298969121111888,0.1298969121111888,26.以下描述符不符合你的個人經驗感受呢？ - 26-12.我在網路世界中表現出與現實世界中截然不同的言行舉止。
31-7,0.1288470778972602,0.1288470778972602,31.上九年級以來，你曾在現實生活中(非網上)遇到這樣的事情嗎？ - 31-7.勒索或強要我的東西。
33-7,0.1268177710123882,0.1268177710123882,33.上九年級以來，你曾在現實生活中(非網上)對別人做過這樣的事嗎？ - 33-7.勒索或強要某人的東西。
25-8,0.1264961028979099,0.1264961028979099,25. 關於你在社群媒體上的行為，以下敘述符不符合你的情況。 - 25-8.我會隱藏自己正在線上活動的紀錄。
26-6,-0.1255106278122938,0.1255106278122938,26.以下描述符不符合你的個人經驗感受呢？ - 26-6.在現實生活裡我覺得自己可以成為理想的自己。
11-6,-0.1251430441417466,0.1251430441417466,11.請問以下敘述是否符合對你家長的情形？ - 11-6.家長會花時間在我的學校功課上
19-1_11,0.124855599047684,0.124855599047684,
33-4,0.1247662519118454,0.1247662519118454,33.上九年級以來，你曾在現實生活中(非網上)對別人做過這樣的事嗎？ - 33-4.嘲笑某人的外貌或言行舉止。
35-7,0.1246199650448417,0.1246199650448417,35.上九年級以來，你曾在網路上遇到這樣的事情嗎？ - 35-7.假冒我的社交帳號或是電子郵件，在網路上發佈不實訊息。
_______點_______分.2,-0.1244631727425021,0.1244631727425021,
33-8,0.1243922717366736,0.1243922717366736,33.上九年級以來，你曾在現實生活中(非網上)對別人做過這樣的事嗎？ - 33-8.對某人肢體攻擊。
26-7,0.1243132414289111,0.1243132414289111,26.以下描述符不符合你的個人經驗感受呢？ - 26-7.我在網路世界裡經常會扮演成不一樣的角色。
38-5,0.1233856742205682,0.1233856742205682,38.上九年級以來，同學之間有時會發生衝突。當有同學被欺負時，請問你多常做以下的事情？ - 38-5.當我知道有同學被威脅、騷擾，我不會有任何反應或行動。
6-1,-0.1232870525913096,0.1232870525913096,6.下列有關你們班上的說法，你認為符不符合目前的狀況？ - 6-1.當我需要他們的時候，我的同學們總是會適時伸出援手
19-2_11,0.1226994795588722,0.1226994795588722,
60-2,-0.1222465727604387,0.1222465727604387,60.你同意以下敘述嗎？ - 60-2.為了想更了解朋友，我會設法以他們的立場與角度看待事情
11-1,-0.1214177082926643,0.1214177082926643,11.請問以下敘述是否符合對你家長的情形？ - 11-1.家長知道我在學校主要的授課老師是誰
64,-0.1188529071312274,0.1188529071312274,64.請問你的身高______公分（僅能填答阿拉伯數字）
2,0.1181171475625333,0.1181171475625333,2.你覺得你比較認同自己的性別是？（請選擇一個最接近你目前狀態的描述）
25-9,0.1160939882618458,0.1160939882618458,25. 關於你在社群媒體上的行為，以下敘述符不符合你的情況。 - 25-9.我會避免加入朋友們在社群媒體上的對話，即便我正在看著他們的訊息。
31-8,0.11494065393726,0.11494065393726,31.上九年級以來，你曾在現實生活中(非網上)遇到這樣的事情嗎？ - 31-8.別人對我肢體攻擊。
26-5,-0.1147155670905018,0.1147155670905018,26.以下描述符不符合你的個人經驗感受呢？ - 26-5.我在現實生活裡可以表現出我最好的一面。
25-2,0.1143545050248839,0.1143545050248839,25. 關於你在社群媒體上的行為，以下敘述符不符合你的情況。 - 25-2.我會刻意選擇自己看起來好看的照片發佈。
19-2_12,0.1142515599711277,0.1142515599711277,
33-2,0.1135794374144553,0.1135794374144553,33.上九年級以來，你曾在現實生活中(非網上)對別人做過這樣的事嗎？ - 33-2.說某人的壞話。
26-4,-0.1129848514131623,0.1129848514131623,26.以下描述符不符合你的個人經驗感受呢？ - 26-4.我喜歡自己在現實生活裡的形象。
39_1,0.1120703101017181,0.1120703101017181,
53-19,-0.1114370483945205,0.1114370483945205,53.你有多同意下列的敘述？ - 53-19.我會去想不同的方法來解決問題。
5-9,0.1105724910329794,0.1105724910329794,5.過去一年，請問你家長和你相處情形如何？ - 5-9. 處罰你時會打你。
28-4,0.1083761070945552,0.1083761070945552,28.你同不同意以下說法？ - 28-4.沒跟上網路上的首播、直播或活動，我會感到很困擾
39_8,0.1082808059913411,0.1082808059913411,
27-3,0.1082458811241127,0.1082458811241127,27.關於你在網路上的意見表達，以下敘述你同不同意？ - 27-3.我經常在網路上和他人比較自己受歡迎的程度。
38-7,0.1080701871349467,0.1080701871349467,38.上九年級以來，同學之間有時會發生衝突。當有同學被欺負時，請問你多常做以下的事情？ - 38-7.當我收到別人傳來同學的出醜或是不雅照片，我不會傳給別人。
26-8,0.107215281279359,0.107215281279359,26.以下描述符不符合你的個人經驗感受呢？ - 26-8.我在不同的社群媒體中（如臉書、IG）會有不一樣的形象。
60-3,-0.1071357769144597,0.1071357769144597,60.你同意以下敘述嗎？ - 60-3.當有人感到難過時，我通常可以理解他們的感受
27-5,0.1062048048960126,0.1062048048960126,27.關於你在網路上的意見表達，以下敘述你同不同意？ - 27-5.我總是好奇網路上的人們在和我遇到相同的問題時會怎麼想或怎麼做。
62-3,0.1060516724361787,0.1060516724361787,62-3.提神或能量飲料（如蠻牛、red bull、Monster等）
38-2,0.1060326532612221,0.1060326532612221,38.上九年級以來，同學之間有時會發生衝突。當有同學被欺負時，請問你多常做以下的事情？ - 38-2.當同學被威脅、騷擾時，我會保護被威脅的人。
53-15,-0.1060158910319574,0.1060158910319574,53.你有多同意下列的敘述？ - 53-15.我知道別人何時需要幫助。
23-7,0.105534259488682,0.105534259488682,23. 你與以下對象的即時通訊(如LINE、臉書、Wechat、WhatsAPP等)，你的使用情形如何？ - 23-7.網友
24-7,0.1044984733638953,0.1044984733638953,24.當你在現實生活遇到困難感到憂慮時，你會上網： - 24-7.詢問生成式AI（如ChatGPT）
33-5,0.1034810958498424,0.1034810958498424,33.上九年級以來，你曾在現實生活中(非網上)對別人做過這樣的事嗎？ - 33-5.嘲笑某人他喜歡某個人。
38-3,0.1034004555213942,0.1034004555213942,38.上九年級以來，同學之間有時會發生衝突。當有同學被欺負時，請問你多常做以下的事情？ - 38-3.當同學被惡意排擠而無法分組或參加活動時，我會設法讓同學不要被排擠。
25-3,0.1032285723398344,0.1032285723398344,25. 關於你在社群媒體上的行為，以下敘述符不符合你的情況。 - 25-3.我會發佈對自己形象加分的訊息，即使那不是真實的情況。
38-9,0.1030590866583226,0.1030590866583226,38.上九年級以來，同學之間有時會發生衝突。當有同學被欺負時，請問你多常做以下的事情？ - 38-9.當同學被威脅、騷擾時，我會跟著做這些行為。
33-6,0.1028717855359313,0.1028717855359313,33.上九年級以來，你曾在現實生活中(非網上)對別人做過這樣的事嗎？ - 33-6.故意破壞某人的東西或故意藏起來。
26-9,0.1022267734223845,0.1022267734223845,26.以下描述符不符合你的個人經驗感受呢？ - 26-9.我喜歡在網路上擁有多種不一樣的身分、形象或樣貌。
27-1,0.1000478418662283,0.1000478418662283,27.關於你在網路上的意見表達，以下敘述你同不同意？ - 27-1.我經常會在網路上和他人比較自己在生活上獲得的成就。
31-6,0.0994254565465888,0.0994254565465888,31.上九年級以來，你曾在現實生活中(非網上)遇到這樣的事情嗎？ - 31-6.故意破壞我的東西或故意藏起來。
19-1_4,-0.0966836322415788,0.0966836322415788,
41,0.0966790679588477,0.0966790679588477,41.請問你通常多常使用生成式AI？
39_10,0.0949867312759475,0.0949867312759475,
24-6,0.0946606289898584,0.0946606289898584,24.當你在現實生活遇到困難感到憂慮時，你會上網： - 24-6.購物來改善心情或壓力感受。
19-1_12,0.0937070017701717,0.0937070017701717,
27-4,0.0937026576421546,0.0937026576421546,27.關於你在網路上的意見表達，以下敘述你同不同意？ - 27-4.如果我想要更瞭解某些事情，我會試著去網路上看看別人的想法。
27-6,0.0936916621823695,0.0936916621823695,27.關於你在網路上的意見表達，以下敘述你同不同意？ - 27-6.我喜歡在網路上看看其他人的不同觀點和經歷。
24-1,0.0931609050482641,0.0931609050482641,24.當你在現實生活遇到困難感到憂慮時，你會上網： - 24-1.找人聊天給你支持或安慰。
6-2,-0.093101342528881,0.093101342528881,6.下列有關你們班上的說法，你認為符不符合目前的狀況？ - 6-2.當班上的同學需要我的時候，我總是會適時伸出援手
_______點_______分,-0.0905278732700963,0.0905278732700963,
____小時.1,0.0902235806067986,0.0902235806067986,
____小時,0.089187261148717,0.089187261148717,
53-18,-0.088962881408108,0.088962881408108,53.你有多同意下列的敘述？ - 53-18.我知道哪些事情是對的、哪些事情是不對的。
39,0.0887479973502477,0.0887479973502477,39.過去6個月以來，請問你有沒有做過下列的事情？【可複選】-(1)考試作弊
39,0.0887479973502477,0.0887479973502477,39.過去6個月以來，請問你有沒有做過下列的事情？【可複選】-(2)離家出走
39,0.0887479973502477,0.0887479973502477,39.過去6個月以來，請問你有沒有做過下列的事情？【可複選】-(3)蹺課或逃學
39,0.0887479973502477,0.0887479973502477,39.過去6個月以來，請問你有沒有做過下列的事情？【可複選】-(4)偷拿別人的東西
39,0.0887479973502477,0.0887479973502477,39.過去6個月以來，請問你有沒有做過下列的事情？【可複選】-(5)故意破壞別人的東西
39,0.0887479973502477,0.0887479973502477,39.過去6個月以來，請問你有沒有做過下列的事情？【可複選】-(6)蓄意打傷別人
39,0.0887479973502477,0.0887479973502477,39.過去6個月以來，請問你有沒有做過下列的事情？【可複選】-(7)抽紙菸（香菸）
39,0.0887479973502477,0.0887479973502477,39.過去6個月以來，請問你有沒有做過下列的事情？【可複選】-(8)抽電子菸
39,0.0887479973502477,0.0887479973502477,39.過去6個月以來，請問你有沒有做過下列的事情？【可複選】-(9)喝酒
39,0.0887479973502477,0.0887479973502477,39.過去6個月以來，請問你有沒有做過下列的事情？【可複選】-(10)嚼檳榔
39,0.0887479973502477,0.0887479973502477,39.過去6個月以來，請問你有沒有做過下列的事情？【可複選】-(11)收聽或觀看盜版的音樂與影片
39,0.0887479973502477,0.0887479973502477,39.過去6個月以來，請問你有沒有做過下列的事情？【可複選】-(12)下載非法軟體
39,0.0887479973502477,0.0887479973502477,39.過去6個月以來，請問你有沒有做過下列的事情？【可複選】-(13)深夜不回家在外遊蕩
39,0.0887479973502477,0.0887479973502477,39.過去6個月以來，請問你有沒有做過下列的事情？【可複選】-(14)都沒有
33-3,0.0885018228113071,0.0885018228113071,33.上九年級以來，你曾在現實生活中(非網上)對別人做過這樣的事嗎？ - 33-3.不讓某人加入活動、討論事情或不准別人跟某人說話、一起行動。
61-7,-0.0868795256808018,0.0868795256808018,61.請告訴我下列敘述符不符合你個人的情況？ - 61-7.你喜歡冒險。
39_12,0.0861247169099569,0.0861247169099569,
24-4,0.0859719749078405,0.0859719749078405,24.當你在現實生活遇到困難感到憂慮時，你會上網： - 24-4.瀏覽跟困難無關的資訊，轉移自己的注意力。
43-1,0.0816218514819286,0.0816218514819286,43.關於生成式AI的使用，符不符合你的情形？ - 43-1. 如果不用生成式AI，就無法完成作業。
39_2,0.0815746078002118,0.0815746078002118,
65,-0.0806987390137853,0.0806987390137853,65.請問你的體重______公斤（僅能填答阿拉伯數字）
19-2_4,-0.0803888624910067,0.0803888624910067,
19-2_5,-0.0797920866582168,0.0797920866582168,
19-1_3,-0.0791407519160623,0.0791407519160623,
25-1,0.0788856267611788,0.0788856267611788,25. 關於你在社群媒體上的行為，以下敘述符不符合你的情況。 - 25-1.我只會發佈自己看起來高興、愉快的照片。
11-3,-0.0785551881908658,0.0785551881908658,11.請問以下敘述是否符合對你家長的情形？ - 11-3.家長會參加學校的家長會/學校日
19-1_5,-0.0774275337117345,0.0774275337117345,
43-4,0.075688684294272,0.075688684294272,43.關於生成式AI的使用，符不符合你的情形？ - 43-4. 會以粗魯言詞向生成式AI來發洩情緒。
19-1_6,-0.0754702302560268,0.0754702302560268,
53-17,-0.0745007945045472,0.0745007945045472,53.你有多同意下列的敘述？ - 53-17.在做決定前，我預先思考之後可能發生的情況。
39_3,0.0741958124632168,0.0741958124632168,
44-10,-0.0726187236478373,0.0726187236478373,44.你能使用生成式AI(如ChatGPT，Copilot，Gemini等)進行以下任務嗎？ - 44-10.撰寫程式。
39_11,0.0718261316559918,0.0718261316559918,
10-1_5,0.0714939409606737,0.0714939409606737,
11-8,-0.0709274588284053,0.0709274588284053,11.請問以下敘述是否符合對你家長的情形？ - 11-8.家長會上網幫我搜尋相關的教學材料、教學平台或升學資訊
19-2_9,0.0693740233827053,0.0693740233827053,
18,-0.06924755916406,0.06924755916406,18.就你目前的環境和能力，你覺得你可以讀到什麼程度？
39_5,0.0684548735124077,0.0684548735124077,
26-3,0.0674005760429193,0.0674005760429193,26.以下描述符不符合你的個人經驗感受呢？ - 26-3.在網路世界中我覺得自己可以成為理想的自己。
12-10,-0.0666666807947094,0.0666666807947094,12.升上國九後，家裡有沒有因為你要升學而改變一些安排？ - 12-10.父母陪伴你的時間
44-11,-0.0663337559661702,0.0663337559661702,44.你能使用生成式AI(如ChatGPT，Copilot，Gemini等)進行以下任務嗎？ - 44-11.在考慮一系列潛在原因後，辨識程式碼中錯誤的來源（Debug）。
11-4,-0.0660475970502575,0.0660475970502575,11.請問以下敘述是否符合對你家長的情形？ - 11-4.家長會為班上的活動或設備出錢出力
19-2_6,-0.0655193881476052,0.0655193881476052,
39_7,0.0641983196259368,0.0641983196259368,
