group_id,change_class,n_columns,n_question_groups,question_groups,columns,source_columns,mapping_pattern_json
G11,label_to_numeric_plus_missing_standardization,5,1,v53,v53_1;v53_2;v53_3;v53_4;v53_5,v53_1;v53_2;v53_3;v53_4;v53_5,"{""RAW_NUMPREFIX:3"": ""CLEAN_NUM:3"", ""RAW_NUMPREFIX:2"": ""CLEAN_NUM:2"", ""RAW_NUMPREFIX:1"": ""CLEAN_NUM:1"", ""RAW_SENT:-9"": ""CLEAN_EMPTY""}"
G12,label_to_numeric_plus_missing_standardization,5,1,v57,v57_1;v57_2;v57_3;v57_4;v57_5,v57_1;v57_2;v57_3;v57_4;v57_5,"{""RAW_NUMPREFIX:3"": ""CLEAN_NUM:3"", ""RAW_NUMPREFIX:1"": ""CLEAN_NUM:1"", ""RAW_NUMPREFIX:0"": ""CLEAN_NUM:0"", ""RAW_NUMPREFIX:4"": ""CLEAN_NUM:4"", ""RAW_NUMPREFIX:2"": ""CLEAN_NUM:2"", ""RAW_SENT:-9"": ""CLEAN_EMPTY""}"
G13,label_to_numeric_plus_missing_standardization,4,2,v17;v46,v17;v46_1;v46_2;v46_3,v17;v46_1;v46_2;v46_3,"{""RAW_NUMPREFIX:1"": ""CLEAN_NUM:1"", ""RAW_NUMPREFIX:2"": ""CLEAN_NUM:2"", ""RAW_SENT:-9"": ""CLEAN_EMPTY""}"
G14,label_to_numeric_plus_missing_standardization,4,2,v58;v59,v58_1m;v58_2m;v59_3m;v59_4m,v58_1m;v58_2m;v59_3m;v59_4m,"{""RAW_NUMPREFIX:15"": ""CLEAN_NUM:15"", ""RAW_NUMPREFIX:30"": ""CLEAN_NUM:30"", ""RAW_NUMPREFIX:20"": ""CLEAN_NUM:20"", ""RAW_NUMPREFIX:10"": ""CLEAN_NUM:10"", ""RAW_NUMPREFIX:25"": ""CLEAN_NUM:25"", ""RAW_NUMPREFIX:5"": ""CLEAN_NUM:5"", ""RAW_NUMPREFIX:0"": ""CLEAN_NUM:0"", ""RAW_NUMPREFIX:50"": ""CLEAN_NUM:50"", ""RAW_NUMPREFIX:55"": ""CLEAN_NUM:55"", ""RAW_NUMPREFIX:40"": ""CLEAN_NUM:40"", ""RAW_NUMPREFIX:35"": ""CLEAN_NUM:35"", ""RAW_NUMPREFIX:45"": ""CLEAN_NUM:45"", ""RAW_SENT:-9"": ""CLEAN_EMPTY""}"
G15,deterministic_categorical_recode,4,4,v34;v36;v38;v40,v34;v36;v38;v40,v34;v36;v38;v40,"{""RAW_NUMPREFIX:1"": ""CLEAN_NUM:1"", ""RAW_NUMPREFIX:2"": ""CLEAN_NUM:0"", ""RAW_SENT:-9"": ""CLEAN_EMPTY""}"
G16,label_to_numeric_plus_missing_standardization,2,1,v59,v59_1m;v59_2m,v59_1m;v59_2m,"{""RAW_NUMPREFIX:0"": ""CLEAN_NUM:0"", ""RAW_NUMPREFIX:30"": ""CLEAN_NUM:30"", ""RAW_NUMPREFIX:20"": ""CLEAN_NUM:20"", ""RAW_NUMPREFIX:10"": ""CLEAN_NUM:10"", ""RAW_NUMPREFIX:35"": ""CLEAN_NUM:35"", ""RAW_NUMPREFIX:15"": ""CLEAN_NUM:15"", ""RAW_NUMPREFIX:5"": ""CLEAN_NUM:5"", ""RAW_NUMPREFIX:40"": ""CLEAN_NUM:40"", ""RAW_NUMPREFIX:50"": ""CLEAN_NUM:50"", ""RAW_NUMPREFIX:45"": ""CLEAN_NUM:45"", ""RAW_NUMPREFIX:25"": ""CLEAN_NUM:25"", ""RAW_NUMPREFIX:55"": ""CLEAN_NUM:55"", ""RAW_SENT:-9"": ""CLEAN_EMPTY"", ""RAW_SENT:-99"": ""CLEAN_EMPTY""}"
G17,label_to_numeric_plus_missing_standardization,2,1,v60,v60_1;v60_2,v60_1;v60_2,"{""RAW_NUMPREFIX:0"": ""CLEAN_NUM:0"", ""RAW_NUMPREFIX:1"": ""CLEAN_NUM:1"", ""RAW_NUMPREFIX:2"": ""CLEAN_NUM:2"", ""RAW_NUMPREFIX:3"": ""CLEAN_NUM:3"", ""RAW_SENT:-9"": ""CLEAN_EMPTY"", ""RAW_NUMPREFIX:6"": ""CLEAN_NUM:6"", ""RAW_NUMPREFIX:4"": ""CLEAN_NUM:4"", ""RAW_NUMPREFIX:5"": ""CLEAN_NUM:5""}"
G18,deterministic_categorical_recode,2,1,v59,v59_3h;v59_4h,v59_3h;v59_4h,"{""RAW_TEXT:凌晨1點"": ""CLEAN_TEXT:凌晨1點"", ""RAW_TEXT:中午12點"": ""CLEAN_TEXT:中午12點"", ""RAW_TEXT:早上10點"": ""CLEAN_TEXT:早上10點"", ""RAW_TEXT:晚上11點"": ""CLEAN_TEXT:晚上11點"", ""RAW_TEXT:晚上10點"": ""CLEAN_TEXT:晚上10點"", ""RAW_TEXT:半夜12點"": ""CLEAN_TEXT:半夜12點"", ""RAW_TEXT:凌晨4點"": ""CLEAN_TEXT:凌晨4點"", ""RAW_TEXT:凌晨2點"": ""CLEAN_TEXT:凌晨2點"", ""RAW_TEXT:早上11點"": ""CLEAN_TEXT:早上11點"", ""RAW_TEXT:早上5點"": ""CLEAN_TEXT:早上5點"", ""RAW_TEXT:凌晨3點"": ""CLEAN_TEXT:凌晨3點"", ""RAW_TEXT:晚上9點"": ""CLEAN_TEXT:晚上9點"", ""RAW_TEXT:下午1點"": ""CLEAN_TEXT:下午1點"", ""RAW_TEXT:下午2點"": ""CLEAN_TEXT:下午2點"", ""RAW_TEXT:早上8點"": ""CLEAN_TEXT:早上8點"", ""RAW_TEXT:晚上8點"": ""CLEAN_TEXT:晚上8點"", ""RAW_TEXT:下午4點"": ""CLEAN_TEXT:下午4點"", ""RAW_TEXT:早上9點"": ""CLEAN_TEXT:早上9點"", ""RAW_TEXT:下午6點"": ""CLEAN_TEXT:下午6點"", ""RAW_TEXT:0X"": ""CLEAN_NUM:0"", ""RAW_TEXT:早上6點"": ""CLEAN_TEXT:早上6點"", ""RAW_TEXT:早上7點"": ""CLEAN_TEXT:早上7點"", ""RAW_TEXT:下午3點"": ""CLEAN_TEXT:下午3點"", ""RAW_TEXT:下午5點"": ""CLEAN_TEXT:下午5點"", ""RAW_TEXT:0T"": ""CLEAN_NUM:0"", ""RAW_TEXT:晚上7點"": ""CLEAN_TEXT:晚上7點""}"
G19,unchanged,1,1,v521,v521,v52,"{""RAW_NUMPREFIX:3"": ""CLEAN_NUM:3"", ""RAW_NUMPREFIX:4"": ""CLEAN_NUM:4"", ""RAW_NUMPREFIX:2"": ""CLEAN_NUM:2"", ""RAW_NUMPREFIX:1"": ""CLEAN_NUM:1"", ""RAW_SENT:-9"": ""CLEAN_EMPTY""}"
G20,label_to_numeric_plus_missing_standardization,1,1,v1,v1,v1,"{""RAW_NUMPREFIX:2"": ""CLEAN_NUM:2"", ""RAW_NUMPREFIX:1"": ""CLEAN_NUM:1""}"
G21,label_to_numeric_plus_missing_standardization,1,1,v2,v2,v2,"{""RAW_NUMPREFIX:1"": ""CLEAN_NUM:1"", ""RAW_NUMPREFIX:4"": ""CLEAN_NUM:4"", ""RAW_NUMPREFIX:2"": ""CLEAN_NUM:2"", ""RAW_NUMPREFIX:8"": ""CLEAN_NUM:8"", ""RAW_NUMPREFIX:6"": ""CLEAN_NUM:6"", ""RAW_NUMPREFIX:3"": ""CLEAN_NUM:3"", ""RAW_NUMPREFIX:5"": ""CLEAN_NUM:5"", ""RAW_SENT:-9"": ""CLEAN_EMPTY"", ""RAW_SENT:-7"": ""CLEAN_EMPTY"", ""RAW_NUMPREFIX:9"": ""CLEAN_NUM:9"", ""RAW_NUMPREFIX:11"": ""CLEAN_NUM:11"", ""RAW_NUMPREFIX:7"": ""CLEAN_NUM:7"", ""RAW_NUMPREFIX:-5"": ""CLEAN_NUM:-5"", ""RAW_NUMPREFIX:10"": ""CLEAN_NUM:10"", ""RAW_SENT:-99"": ""CLEAN_EMPTY""}"
G22,label_to_numeric_plus_missing_standardization,1,1,v16,v16,v16,"{""RAW_NUMPREFIX:2"": ""CLEAN_NUM:2"", ""RAW_NUMPREFIX:6"": ""CLEAN_NUM:6"", ""RAW_NUMPREFIX:5"": ""CLEAN_NUM:5"", ""RAW_NUMPREFIX:1"": ""CLEAN_NUM:1"", ""RAW_SENT:-9"": ""CLEAN_EMPTY"", ""RAW_NUMPREFIX:3"": ""CLEAN_NUM:3"", ""RAW_NUMPREFIX:4"": ""CLEAN_NUM:4"", ""RAW_SENT:-7"": ""CLEAN_EMPTY""}"
G23,label_to_numeric_plus_missing_standardization,1,1,v50,v50,v50,"{""RAW_NUMPREFIX:3"": ""CLEAN_NUM:3"", ""RAW_NUMPREFIX:1"": ""CLEAN_NUM:1"", ""RAW_NUMPREFIX:2"": ""CLEAN_NUM:2"", ""RAW_NUMPREFIX:4"": ""CLEAN_NUM:4""}"
G24,label_to_numeric_plus_missing_standardization,1,1,v58,v58_1h,v58_1h,"{""RAW_NUMPREFIX:7"": ""CLEAN_NUM:7"", ""RAW_NUMPREFIX:6"": ""CLEAN_NUM:6"", ""RAW_NUMPREFIX:10"": ""CLEAN_NUM:10"", ""RAW_NUMPREFIX:9"": ""CLEAN_NUM:9"", ""RAW_NUMPREFIX:8"": ""CLEAN_NUM:8"", ""RAW_NUMPREFIX:5"": ""CLEAN_NUM:5"", ""RAW_SENT:-9"": ""CLEAN_EMPTY""}"
G25,label_to_numeric_plus_missing_standardization,1,1,v58,v58_2h,v58_2h,"{""RAW_NUMPREFIX:20"": ""CLEAN_NUM:20"", ""RAW_NUMPREFIX:17"": ""CLEAN_NUM:17"", ""RAW_NUMPREFIX:19"": ""CLEAN_NUM:19"", ""RAW_NUMPREFIX:18"": ""CLEAN_NUM:18"", ""RAW_NUMPREFIX:21"": ""CLEAN_NUM:21"", ""RAW_NUMPREFIX:16"": ""CLEAN_NUM:16"", ""RAW_NUMPREFIX:15"": ""CLEAN_NUM:15"", ""RAW_SENT:-9"": ""CLEAN_EMPTY"", ""RAW_NUMPREFIX:22"": ""CLEAN_NUM:22""}"
G26,label_to_numeric_plus_missing_standardization,1,1,v59,v59_1h,v59_1h,"{""RAW_NUMPREFIX:24"": ""CLEAN_NUM:24"", ""RAW_NUMPREFIX:22"": ""CLEAN_NUM:22"", ""RAW_NUMPREFIX:23"": ""CLEAN_NUM:23"", ""RAW_NUMPREFIX:3"": ""CLEAN_NUM:3"", ""RAW_NUMPREFIX:2"": ""CLEAN_NUM:2"", ""RAW_NUMPREFIX:1"": ""CLEAN_NUM:1"", ""RAW_NUMPREFIX:21"": ""CLEAN_NUM:21"", ""RAW_NUMPREFIX:20"": ""CLEAN_NUM:20"", ""RAW_SENT:-9"": ""CLEAN_EMPTY"", ""RAW_NUMPREFIX:18"": ""CLEAN_NUM:18"", ""RAW_NUMPREFIX:5"": ""CLEAN_NUM:5"", ""RAW_NUMPREFIX:10"": ""CLEAN_NUM:10"", ""RAW_NUMPREFIX:19"": ""CLEAN_NUM:19"", ""RAW_NUMPREFIX:17"": ""CLEAN_NUM:17"", ""RAW_SENT:-99"": ""CLEAN_EMPTY"", ""RAW_NUMPREFIX:4"": ""CLEAN_NUM:4"", ""RAW_NUMPREFIX:6"": ""CLEAN_NUM:6"", ""RAW_NUMPREFIX:7"": ""CLEAN_NUM:7"", ""RAW_NUMPREFIX:12"": ""CLEAN_NUM:12"", ""RAW_NUMPREFIX:9"": ""CLEAN_NUM:9"", ""RAW_NUMPREFIX:16"": ""CLEAN_NUM:16"", ""RAW_NUMPREFIX:15"": ""CLEAN_NUM:15""}"
G27,label_to_numeric_plus_missing_standardization,1,1,v59,v59_2h,v59_2h,"{""RAW_NUMPREFIX:6"": ""CLEAN_NUM:6"", ""RAW_NUMPREFIX:7"": ""CLEAN_NUM:7"", ""RAW_NUMPREFIX:4"": ""CLEAN_NUM:4"", ""RAW_NUMPREFIX:5"": ""CLEAN_NUM:5"", ""RAW_NUMPREFIX:24"": ""CLEAN_NUM:24"", ""RAW_SENT:-99"": ""CLEAN_EMPTY"", ""RAW_NUMPREFIX:9"": ""CLEAN_NUM:9"", ""RAW_SENT:-9"": ""CLEAN_EMPTY"", ""RAW_NUMPREFIX:22"": ""CLEAN_NUM:22"", ""RAW_NUMPREFIX:3"": ""CLEAN_NUM:3"", ""RAW_NUMPREFIX:8"": ""CLEAN_NUM:8"", ""RAW_NUMPREFIX:1"": ""CLEAN_NUM:1"", ""RAW_NUMPREFIX:23"": ""CLEAN_NUM:23"", ""RAW_NUMPREFIX:10"": ""CLEAN_NUM:10"", ""RAW_NUMPREFIX:16"": ""CLEAN_NUM:16"", ""RAW_NUMPREFIX:2"": ""CLEAN_NUM:2"", ""RAW_NUMPREFIX:21"": ""CLEAN_NUM:21"", ""RAW_NUMPREFIX:19"": ""CLEAN_NUM:19"", ""RAW_NUMPREFIX:20"": ""CLEAN_NUM:20"", ""RAW_NUMPREFIX:18"": ""CLEAN_NUM:18""}"
G28,label_to_numeric_plus_missing_standardization,1,1,v63,v63,v63,"{""RAW_NUMPREFIX:1"": ""CLEAN_NUM:1"", ""RAW_NUMPREFIX:2"": ""CLEAN_NUM:2"", ""RAW_NUMPREFIX:4"": ""CLEAN_NUM:4"", ""RAW_NUMPREFIX:5"": ""CLEAN_NUM:5"", ""RAW_NUMPREFIX:3"": ""CLEAN_NUM:3"", ""RAW_NUMPREFIX:6"": ""CLEAN_NUM:6"", ""RAW_NUMPREFIX:7"": ""CLEAN_NUM:7"", ""RAW_NUMPREFIX:9"": ""CLEAN_NUM:9"", ""RAW_SENT:-9"": ""CLEAN_EMPTY"", ""RAW_NUMPREFIX:8"": ""CLEAN_NUM:8""}"
