wave,school_id,class,seat,candidate_count,candidate_student_ids
W2,34527,818.0,11,2,s112034527061;s112034527062
W2,333505,8.0,32,2,s112333505044;s112333505074
W2,333505,8.0,33,2,s112333505045;s112333505075
W2,333505,8.0,37,2,s112333505049;s112333505079
W2,333505,8.0,38,2,s112333505050;s112333505080
W2,333505,8.0,6,2,s112333505029;s112333505059
W2,333505,8.0,9,2,s112333505031;s112333505062
W2,343302,8.0,1,2,s112343302024;s112343302053
W2,343302,8.0,10,2,s112343302033;s112343302062
W2,343302,8.0,11,2,s112343302034;s112343302063
W2,343302,8.0,12,2,s112343302035;s112343302064
W2,343302,8.0,13,2,s112343302036;s112343302065
W2,343302,8.0,2,2,s112343302025;s112343302054
W2,343302,8.0,21,2,s112343302038;s112343302066
W2,343302,8.0,22,2,s112343302039;s112343302067
W2,343302,8.0,23,2,s112343302040;s112343302068
W2,343302,8.0,25,2,s112343302042;s112343302070
W2,343302,8.0,27,2,s112343302044;s112343302072
W2,343302,8.0,29,2,s112343302046;s112343302073
W2,343302,8.0,3,2,s112343302026;s112343302055
W2,343302,8.0,30,2,s112343302047;s112343302074
W2,343302,8.0,31,2,s112343302048;s112343302075
W2,343302,8.0,33,2,s112343302050;s112343302077
W2,343302,8.0,4,2,s112343302027;s112343302056
W2,343302,8.0,5,2,s112343302028;s112343302057
W2,343302,8.0,7,2,s112343302030;s112343302059
W2,343302,8.0,8,2,s112343302031;s112343302060
W2,343302,8.0,9,2,s112343302032;s112343302061
W2,403502,805.0,28,2,s112403502043;s112403502044
W2,551301,國中201,14,2,s112551301037;s112551301039
W2,551301,國中201,7,2,s112551301028;s112551301030
W2,551301,國中203,10,2,s112551301069;s112551301070
W2,551301,國中203,35,2,s112551301089;s112551301092
W3,11306,108.0,17,2,s112011306044;s112011306045
W3,11306,108.0,2,2,s112011306023;s112011306027
W3,11306,108.0,30,2,s112011306051;s112011306057
W3,11324,國二忠,17,2,s112011324036;s112011324037
W3,11324,國二忠,25,2,s112011324044;s112011324045
W3,11324,國二忠,30,2,s112011324049;s112011324050
W3,11324,國二忠,32,2,s112011324051;s112011324054
W3,11324,國二忠,34,2,s112011324053;s112011324055
W3,11324,國二忠,38,2,s112011324057;s112011324059
W3,11324,國二忠,4,2,s112011324026;s112011324027
W3,14332,811.0,1,2,s112014332052;s112014332056
W3,14514,814.0,1,2,s112014514054;s112014514069
W3,14514,814.0,15,2,s112014514068;s112014514078
W3,24507,806.0,3,2,s112024507047;s112024507050
W3,34506,八年8班,1,2,s112034506024;s112034506033
W3,34563,802.0,3,2,s112034563026;s112034563033
W3,34565,803.0,14,2,s112034565036;s112034565037
W3,44501,八年五班,20,2,s112044501075;s112044501082
W3,44529,8.0,1,2,s112044529024;s112044529056
W3,44529,8.0,12,2,s112044529035;s112044529067
W3,44529,8.0,13,2,s112044529036;s112044529068
W3,44529,8.0,15,2,s112044529038;s112044529070
W3,44529,8.0,24,2,s112044529042;s112044529075
W3,44529,8.0,26,2,s112044529044;s112044529077
W3,44529,8.0,29,2,s112044529047;s112044529080
W3,44529,8.0,3,2,s112044529026;s112044529058
W3,44529,8.0,30,2,s112044529048;s112044529081
W3,44529,8.0,31,2,s112044529049;s112044529082
W3,44529,8.0,32,2,s112044529050;s112044529083
W3,44529,8.0,34,2,s112044529052;s112044529085
W3,44529,8.0,4,2,s112044529027;s112044529059
W3,61315,201.0,12,2,s112061315035;s112061315036
W3,61315,201.0,19,2,s112061315043;s112061315044
W3,61315,201.0,25,2,s112061315050;s112061315051
W3,61315,204.0,24,2,s112061315083;s112061315094
W3,64521,8.0,10,2,s112064521033;s112064521048
W3,64521,8.0,11,2,s112064521034;s112064521049
W3,64521,8.0,12,2,s112064521035;s112064521050
W3,64521,8.0,2,2,s112064521025;s112064521040
W3,64521,8.0,4,2,s112064521027;s112064521042
W3,64521,8.0,5,2,s112064521028;s112064521043
W3,64521,8.0,7,2,s112064521030;s112064521045
W3,64521,8.0,8,2,s112064521031;s112064521046
W3,64521,8.0,9,2,s112064521032;s112064521047
W3,64523,八年三班,19,2,s112064523039;s112064523041
W3,64538,八年五班,10,2,s112064538033;s112064538047
W3,64545,八年4班,7,2,s112064545030;s112064545031
W3,71311,805.0,14,2,s112071311040;s112071311054
W3,71311,805.0,27,2,s112071311050;s112071311061
W3,71311,805.0,35,2,s112071311070;s112071311071
W3,71311,812.0,41,2,s112071311093;s112071311120
W3,71311,812.0,47,2,s112071311110;s112071311116
W3,74323,208.0,9,2,s112074323051;s112074323059
W3,74510,807.0,12,2,s112074510063;s112074510064
W3,74511,八年四班,1,2,s112074511054;s112074511063
W3,84503,8.0,1,2,s112084503024;s112084503056
W3,84503,8.0,11,2,s112084503034;s112084503066
W3,84503,8.0,15,2,s112084503038;s112084503070
W3,84503,8.0,17,2,s112084503071;s113084503003
W3,84503,8.0,19,2,s112084503040;s112084503073
W3,84503,8.0,2,2,s112084503025;s112084503057
W3,84503,8.0,22,2,s112084503043;s112084503076
W3,84503,8.0,23,2,s112084503044;s112084503077
W3,84503,8.0,25,3,s112084503047;s112084503079;s112084503080
W3,84503,8.0,26,2,s112084503048;s112084503081
W3,84503,8.0,28,2,s112084503050;s112084503082
W3,84503,8.0,29,2,s112084503053;s112084503083
W3,84503,8.0,3,2,s112084503026;s112084503058
W3,84503,8.0,30,3,s112084503085;s113084503004;s113084503005
W3,84503,8.0,4,2,s112084503027;s112084503059
W3,84503,8.0,6,2,s112084503029;s112084503061
W3,84503,8.0,7,2,s112084503030;s112084503062
W3,84503,8.0,8,2,s112084503031;s112084503063
W3,84503,8.0,9,2,s112084503032;s112084503064
W3,114523,8.0,16,2,s112114523039;s112114523069
W3,114523,8.0,19,2,s112114523042;s112114523072
W3,114523,8.0,20,2,s112114523043;s112114523073
W3,114523,8.0,24,2,s112114523047;s112114523076
W3,114523,8.0,26,2,s112114523049;s112114523078
W3,114523,8.0,27,2,s112114523050;s112114523079
W3,114523,8.0,5,2,s112114523028;s112114523058
W3,114523,8.0,7,2,s112114523030;s112114523060
W3,114523,8.0,8,2,s112114523031;s112114523061
W3,114523,8.0,9,2,s112114523032;s112114523062
W3,121320,203.0,1,2,s112121320044;s112121320058
W3,124322,803.0,18,2,s112124322039;s112124322043
W3,124322,803.0,8,2,s112124322030;s112124322037
W3,124515,803.0,23,2,s112124515046;s112124515048
W3,124515,810.0,20,2,s112124515071;s112124515076
W3,124521,205.0,23,2,s112124521076;s112124521077
W3,154506,815.0,10,2,s112154506082;s112154506083
W3,154513,八年一班,19,2,s112154513042;s112154513043
W3,183510,820.0,6,2,s112183510058;s112183510059
W3,191311,國二5,1,2,s112191311024;s112191311035
W3,201304,二年1班,1,2,s112201304025;s112201304026
W3,201304,二年1班,2,2,s112201304027;s112201304031
W3,201304,二年1班,3,2,s112201304028;s112201304035
W3,201304,二年1班,4,2,s112201304029;s112201304039
W3,201304,二年1班,5,2,s112201304030;s112201304048
W3,201304,二年1班,6,2,s112201304032;s112201304049
W3,201304,二年1班,7,2,s112201304034;s112201304053
W3,201304,二年1班,9,2,s112201304037;s112201304056
W3,201304,二年3班,23,2,s112201304066;s112201304069
W3,201304,二年3班,25,2,s112201304062;s112201304070
W3,201304,二年3班,26,2,s112201304071;s112201304081
W3,201304,二年3班,27,3,s112201304024;s112201304073;s112201304085
W3,201310,國二1,28,2,s112201310051;s112201310060
W3,201310,國二4,9,2,s112201310077;s112201310081
W3,213501,819.0,14,2,s112213501068;s112213501069
W3,213501,819.0,17,2,s112213501071;s112213501072
W3,213501,819.0,26,2,s112213501080;s112213501081
W3,213509,2.0,10,2,s112213509033;s112213509063
W3,213509,2.0,16,2,s112213509039;s112213509069
W3,213509,2.0,21,2,s112213509044;s112213509074
W3,213509,2.0,26,2,s112213509048;s112213509079
W3,213509,2.0,27,2,s112213509049;s112213509080
W3,213509,2.0,4,2,s112213509027;s112213509057
W3,213509,2.0,6,2,s112213509029;s112213509059
W3,213509,2.0,7,2,s112213509030;s112213509060
W3,313505,803.0,11,2,s112313505065;s112313505078
W3,333505,8.0,1,2,s112333505024;s112333505054
W3,333505,8.0,10,2,s112333505032;s112333505063
W3,333505,8.0,14,2,s112333505036;s112333505067
W3,333505,8.0,32,2,s112333505044;s112333505074
W3,333505,8.0,33,2,s112333505045;s112333505075
W3,333505,8.0,37,2,s112333505049;s112333505079
W3,333505,8.0,38,2,s112333505050;s112333505080
W3,333505,8.0,6,2,s112333505029;s112333505059
W3,333505,8.0,9,2,s112333505031;s112333505062
W3,343302,8.0,1,2,s112343302024;s112343302053
W3,343302,8.0,10,2,s112343302033;s112343302062
W3,343302,8.0,11,2,s112343302034;s112343302063
W3,343302,8.0,12,2,s112343302035;s112343302064
W3,343302,8.0,13,2,s112343302036;s112343302065
W3,343302,8.0,2,2,s112343302025;s112343302054
W3,343302,8.0,21,2,s112343302038;s112343302066
W3,343302,8.0,22,2,s112343302039;s112343302067
W3,343302,8.0,23,2,s112343302040;s112343302068
W3,343302,8.0,25,2,s112343302042;s112343302070
W3,343302,8.0,27,2,s112343302044;s112343302072
W3,343302,8.0,29,2,s112343302046;s112343302073
W3,343302,8.0,3,2,s112343302026;s112343302055
W3,343302,8.0,30,2,s112343302047;s112343302074
W3,343302,8.0,31,2,s112343302048;s112343302075
W3,343302,8.0,33,2,s112343302050;s112343302077
W3,343302,8.0,4,2,s112343302027;s112343302056
W3,343302,8.0,5,2,s112343302028;s112343302057
W3,343302,8.0,7,2,s112343302030;s112343302059
W3,343302,8.0,8,2,s112343302031;s112343302060
W3,343302,8.0,9,2,s112343302032;s112343302061
W3,381301,八勤,7,2,s112381301070;s112381301083
W3,413302,806.0,24,2,s112413302066;s112413302067
W3,540301,201.0,1,2,s112540301024;s112540301026
W3,551301,國中203,10,2,s112551301069;s112551301070
W3,551301,國中203,21,3,s112551301081;s112551301085;s112551301086
