wave,school_id,class,seat,candidate_count,candidate_student_ids,ambiguous_rows_ref_count
W2,34527,818.0,11,2,s112034527061;s112034527062,9
W3,114523,8.0,20,2,s112114523073;s112114523043,8
W3,114523,8.0,24,2,s112114523047;s112114523076,20
W3,114523,8.0,26,2,s112114523049;s112114523078,20
W3,114523,8.0,27,2,s112114523050;s112114523079,19
W3,121320,203.0,1,2,s112121320044;s112121320058,6
W3,124322,803.0,8,2,s112124322030;s112124322037,14
W3,124322,803.0,18,2,s112124322043;s112124322039,18
W3,124515,803.0,23,2,s112124515046;s112124515048,19
W3,124515,810.0,20,2,s112124515071;s112124515076,7
W3,124521,205.0,23,2,s112124521076;s112124521077,14
W3,154506,815.0,10,2,s112154506083;s112154506082,14
W3,154513,八年一班,19,2,s112154513042;s112154513043,24
W3,183510,820.0,6,2,s112183510058;s112183510059,25
W3,191311,國二5,1,2,s112191311035;s112191311024,23
W3,201304,二年1班,1,2,s112201304025;s112201304026,21
W3,201304,二年1班,2,2,s112201304031;s112201304027,26
W3,201304,二年1班,3,2,s112201304028;s112201304035,18
W3,201304,二年1班,4,2,s112201304029;s112201304039,9
W3,201304,二年1班,5,2,s112201304048;s112201304030,13
W3,201304,二年1班,6,2,s112201304049;s112201304032,18
W3,201304,二年1班,7,2,s112201304034;s112201304053,23
W3,201304,二年1班,9,2,s112201304037;s112201304056,12
W3,201304,二年3班,25,2,s112201304070;s112201304062,10
W3,201304,二年3班,26,2,s112201304081;s112201304071,11
W3,201304,二年3班,27,3,s112201304085;s112201304073;s112201304024,17
W3,201310,國二1,28,2,s112201310051;s112201310060,2
W3,201310,國二4,9,2,s112201310081;s112201310077,6
W3,213501,819.0,14,2,s112213501069;s112213501068,12
W3,213501,819.0,17,2,s112213501071;s112213501072,2
W3,213501,819.0,26,2,s112213501081;s112213501080,6
W3,213509,2.0,4,2,s112213509057;s112213509027,16
W3,213509,2.0,6,2,s112213509059;s112213509029,13
W3,213509,2.0,7,2,s112213509060;s112213509030,12
W3,213509,2.0,10,2,s112213509063;s112213509033,19
W3,213509,2.0,16,2,s112213509069;s112213509039,16
W3,213509,2.0,21,2,s112213509074;s112213509044,12
W3,213509,2.0,26,2,s112213509079;s112213509048,23
W3,213509,2.0,27,2,s112213509080;s112213509049,33
W3,313505,803.0,11,2,s112313505065;s112313505078,15
W3,333505,8.0,1,2,s112333505024;s112333505054,21
W3,333505,8.0,6,2,s112333505059;s112333505029,14
W3,333505,8.0,9,2,s112333505031;s112333505062,16
W3,333505,8.0,10,2,s112333505063;s112333505032,16
W3,333505,8.0,14,2,s112333505036;s112333505067,7
W3,333505,8.0,32,2,s112333505044;s112333505074,16
W3,333505,8.0,33,2,s112333505075;s112333505045,11
W3,333505,8.0,37,2,s112333505049;s112333505079,9
W3,333505,8.0,38,2,s112333505050;s112333505080,17
W3,343302,8.0,1,2,s112343302053;s112343302024,28
W3,343302,8.0,2,2,s112343302054;s112343302025,8
W3,343302,8.0,3,2,s112343302055;s112343302026,26
W3,343302,8.0,4,2,s112343302056;s112343302027,21
W3,343302,8.0,5,2,s112343302057;s112343302028,21
W3,343302,8.0,7,2,s112343302059;s112343302030,20
W3,343302,8.0,8,2,s112343302060;s112343302031,51
W3,343302,8.0,9,2,s112343302061;s112343302032,21
W3,343302,8.0,10,2,s112343302062;s112343302033,26
W3,343302,8.0,11,2,s112343302063;s112343302034,18
W3,343302,8.0,12,2,s112343302064;s112343302035,7
W3,343302,8.0,13,2,s112343302065;s112343302036,21
W3,343302,8.0,21,2,s112343302066;s112343302038,14
W3,343302,8.0,22,2,s112343302067;s112343302039,18
W3,343302,8.0,23,2,s112343302068;s112343302040,6
W3,343302,8.0,25,2,s112343302070;s112343302042,18
W3,343302,8.0,27,2,s112343302072;s112343302044,18
W3,343302,8.0,29,2,s112343302073;s112343302046,15
W3,343302,8.0,30,2,s112343302074;s112343302047,14
W3,343302,8.0,31,2,s112343302075;s112343302048,14
W3,343302,8.0,33,2,s112343302077;s112343302050,23
W3,413302,806.0,24,2,s112413302067;s112413302066,15
W3,540301,201.0,1,2,s112540301026;s112540301024,28
W3,551301,國中203,10,2,s112551301069;s112551301070,1
W3,551301,國中203,21,3,s112551301085;s112551301081;s112551301086,12
