wave,feature_code,feature_name,model_column,source_type,items,reference_category,n_non_missing,n_unique_non_missing
W3,scale_24_29,Problematic Internet Use and Internet Dependence,scale_24_29,multi_item_scale,29-1;29-2;29-3;29-4;29-5;29-6;29-7;29-8;29-9;29-10,,6603,21
W3,scale_25_11,Parental Involvement in Schooling and Academic Monitoring,scale_25_11,multi_item_scale,11-1;11-2;11-3;11-4;11-5;11-6;11-7;11-8,,6603,17
W3,scale_26_24,Online Coping and Support Seeking under Distress,scale_26_24,multi_item_scale,24-1;24-2;24-3;24-4;24-5;24-6;24-7,,6603,22
W3,51,Self-Rated Health Status,51,single_item_ordinal,51,,6603,4
W3,26_A,Social Media Self-Presentation and Online Image Management - Online Ideal Self-Presentation,26_A,decomposed_subscale,26-1;26-2;26-3,,6603,7
W3,26_B,Social Media Self-Presentation and Online Image Management - Real-life Self-Satisfaction,26_B,decomposed_subscale,26-4;26-5;26-6,,6603,7
W3,26_C,Social Media Self-Presentation and Online Image Management - Online-Offline Discrepancy & Immersion,26_C,decomposed_subscale,26-7;26-8;26-9;26-10;26-11;26-12;26-13;26-14;26-15,,6603,19
W3,25_A,Social Media Use: Selective Sharing and Impression Management - Selective Positive Sharing,25_A,decomposed_subscale,25-1;25-2;25-3,,6336,10
W3,25_B,Social Media Use: Selective Sharing and Impression Management - Digital Image Enhancement,25_B,decomposed_subscale,25-4;25-5;25-6,,6336,10
W3,25_C,Social Media Use: Selective Sharing and Impression Management - Social Feedback Dependency,25_C,decomposed_subscale,25-7;25-8;25-9,,6336,10
W3,27_A,Online Social Comparison and Perspective Seeking - Online Upward Social Comparison,27_A,decomposed_subscale,27-1;27-2;27-3,,6603,10
W3,27_B,Online Social Comparison and Perspective Seeking - Online Perspective Seeking,27_B,decomposed_subscale,27-4;27-5;27-6,,6603,10
W3,28_A,"Online Peer Interaction Anxiety (Fear of Missing Out, FOMO) - Fear of Missing Out & Social Anxiety",28_A,decomposed_subscale,28-1;28-2;28-3,,6603,10
W3,28_B,"Online Peer Interaction Anxiety (Fear of Missing Out, FOMO) - Instant Response Pressure",28_B,decomposed_subscale,28-4,,6603,4
W3,53_A,Social and Emotional Learning (SEL) Competencies - Self-Awareness,53_A,decomposed_subscale,53-1;53-2;53-3;53-18,,6603,12
W3,53_B,Social and Emotional Learning (SEL) Competencies - Self-Management,53_B,decomposed_subscale,53-4;53-5;53-6,,6603,10
W3,53_C,Social and Emotional Learning (SEL) Competencies - Motivation & Goal Setting,53_C,decomposed_subscale,53-7;53-8;53-9,,6603,10
W3,53_D,Social and Emotional Learning (SEL) Competencies - Social Awareness & Relationship Skills,53_D,decomposed_subscale,53-10;53-11;53-13;53-14;53-15,,6603,16
W3,53_E,Social and Emotional Learning (SEL) Competencies - Help-Seeking,53_E,decomposed_subscale,53-12;53-16,,6603,7
W3,53_F,Social and Emotional Learning (SEL) Competencies - Responsible Decision-Making,53_F,decomposed_subscale,53-17;53-19;53-20,,6603,10
