feature_name,source_group_id,feature_type,items_requested,items_used,item_count_requested,item_count_used,missing_items_from_mapping,tmp_col,is_drop_candidate_by_source,feature_col,coef,abs_coef
v54_C,v54,subscale,v54_7; v54_8; v54_9,v54_7; v54_8; v54_9,3,3,,__tmp_feature_v54_C,False,feature_v54_C,0.005156417698046596,0.005156417698046596
v28,v28,whole_group,v28_1; v28_2; v28_3; v28_4; v28_5; v28_6; v28_7; v28_8; v28_9; v28_10,v28_1; v28_2; v28_3; v28_4; v28_5; v28_6; v28_7; v28_8; v28_9; v28_10,10,10,,__tmp_feature_v28,False,feature_v28,0.004158511878582523,0.004158511878582523
v19,v19,whole_group,v19_1; v19_2; v19_3; v19_4; v19_5; v19_6; v19_7; v19_8; v19_9; v19_10,v19_1; v19_2; v19_3; v19_4; v19_5; v19_6; v19_7; v19_8; v19_9; v19_10,10,10,,__tmp_feature_v19,False,feature_v19,-0.003906445173422674,0.003906445173422674
v23_A,v23,subscale,v23_1; v23_2; v23_3,v23_1; v23_2; v23_3,3,3,,__tmp_feature_v23_A,False,feature_v23_A,0.0038308791082129656,0.0038308791082129656
v521,v521,whole_group,v521,v521,1,1,,__tmp_feature_v521,False,feature_v521,-0.0036200536608771592,0.0036200536608771592
v25_A,v25,subscale,v25_1; v25_2; v25_3,v25_1; v25_2; v25_3,3,3,,__tmp_feature_v25_A,False,feature_v25_A,-0.0032895000450460935,0.0032895000450460935
v34,v34,whole_group,v34,v34,1,1,,__tmp_feature_v34,False,feature_v34,-0.0032569823320018326,0.0032569823320018326
v54_A,v54,subscale,v54_1; v54_2; v54_3,v54_1; v54_2; v54_3,3,3,,__tmp_feature_v54_A,False,feature_v54_A,0.002728876908221072,0.002728876908221072
v1,v1,whole_group,v1,v1,1,1,,__tmp_feature_v1,False,feature_v1,0.0024507759696045317,0.0024507759696045317
v23_C,v23,subscale,v23_7; v23_8; v23_9,v23_7; v23_8; v23_9,3,3,,__tmp_feature_v23_C,False,feature_v23_C,0.001997775635652317,0.001997775635652317
v3,v3,whole_group,v3,v3,1,1,,__tmp_feature_v3,False,feature_v3,0.0018505600138849772,0.0018505600138849772
v26_A,v26,subscale,v26_1; v26_2; v26_3,v26_1; v26_2; v26_3,3,3,,__tmp_feature_v26_A,False,feature_v26_A,0.0016390693671801005,0.0016390693671801005
v23_B,v23,subscale,v23_4; v23_5; v23_6,v23_4; v23_5; v23_6,3,3,,__tmp_feature_v23_B,False,feature_v23_B,-0.0016128964332686694,0.0016128964332686694
v26_B,v26,subscale,v26_4; v26_5; v26_6,v26_4; v26_5; v26_6,3,3,,__tmp_feature_v26_B,False,feature_v26_B,-0.001391250871037647,0.001391250871037647
v22,v22,whole_group,v22_1; v22_2; v22_3; v22_4; v22_5; v22_6,v22_1; v22_2; v22_3; v22_4; v22_5; v22_6,6,6,,__tmp_feature_v22,False,feature_v22,-0.0005956637535069622,0.0005956637535069622
v36,v36,whole_group,v36,v36,1,1,,__tmp_feature_v36,False,feature_v36,0.0004286453359712602,0.0004286453359712602
v27_B,v27,subscale,v27_4,v27_4,1,1,,__tmp_feature_v27_B,False,feature_v27_B,-0.00029389654055683815,0.00029389654055683815
