Feature Section,Feature Code,Original / Source Group,Original W2 Category,Chinese Name,English Name,Feature Family,Source Type,Items / Construction,Scoring / Coding,Used in Main Models,Used in Table 1,Used as Moderator,Notes
Active W2 model predictor,v22,v22,Internet/Digital(dependence_when_met_with_negativity),負向情緒情境下的線上因應與情緒調節,Online Coping and Emotion Regulation under Distress,Online / Digital Life,scale_or_single_item,v22_1;v22_2;v22_3;v22_4;v22_5;v22_6,mean,"Yes, W2 -> W2 and W2 -> W3","Yes, descriptive group differences",No,Active W2 predictor in current drop + decomposition feature set.
Active W2 model predictor,v23_A,v23,Internet/Digital(Social_Media_usage),選擇性正向分享,Selective Positive Sharing,Online / Digital Life,decomposed_subscale,v23_1;v23_2;v23_3,mean,"Yes, W2 -> W2 and W2 -> W3","Yes, descriptive group differences",No,Active W2 predictor in current drop + decomposition feature set.
Active W2 model predictor,v23_B,v23,Internet/Digital(Social_Media_usage),真實／非理想化自我呈現,Authentic and Less-Ideal Self-Presentation,Online / Digital Life,decomposed_subscale,v23_4;v23_5;v23_6,mean,"Yes, W2 -> W2 and W2 -> W3","Yes, descriptive group differences",No,Active W2 predictor in current drop + decomposition feature set.
Active W2 model predictor,v23_C,v23,Internet/Digital(Social_Media_usage),隱性社群瀏覽與被動參與,Covert Social Media Monitoring and Passive Participation,Online / Digital Life,decomposed_subscale,v23_7;v23_8;v23_9,mean,"Yes, W2 -> W2 and W2 -> W3","Yes, descriptive group differences",No,Active W2 predictor in current drop + decomposition feature set.
Active W2 model predictor,v25_A,v25,Internet/Digital(Social_Media_dependency_usage),網路理想自我呈現,Online Ideal Self-Presentation,Online / Digital Life,decomposed_subscale,v25_1;v25_2;v25_3,mean,"Yes, W2 -> W2 and W2 -> W3","Yes, descriptive group differences",No,Active W2 predictor in current drop + decomposition feature set.
Active W2 model predictor,v25_B,v25,Internet/Digital(Social_Media_dependency_usage),現實自我認同滿意度,Real-life Self-Satisfaction,Online / Digital Life,decomposed_subscale,v25_4;v25_5;v25_6,mean,"Yes, W2 -> W2 and W2 -> W3","Yes, descriptive group differences",No,Active W2 predictor in current drop + decomposition feature set.
Active W2 model predictor,v25_C,v25,Internet/Digital(Social_Media_dependency_usage),虛實形象差異與網路沉浸,Online-Offline Discrepancy & Immersion,Online / Digital Life,decomposed_subscale,v25_7;v25_8;v25_9;v25_10;v25_11;v25_12;v25_13;v25_14;v25_15,mean,"Yes, W2 -> W2 and W2 -> W3","Yes, descriptive group differences",No,Active W2 predictor in current drop + decomposition feature set.
Active W2 model predictor,v26_A,v26,Internet/Digital(Expression_of_opinion),線上向上社會比較,Online Upward Social Comparison,Online / Digital Life,decomposed_subscale,v26_1;v26_2;v26_3,mean,"Yes, W2 -> W2 and W2 -> W3","Yes, descriptive group differences",No,Active W2 predictor in current drop + decomposition feature set.
Active W2 model predictor,v26_B,v26,Internet/Digital(Expression_of_opinion),線上觀點搜尋與獲取,Online Perspective Seeking,Online / Digital Life,decomposed_subscale,v26_4;v26_5;v26_6,mean,"Yes, W2 -> W2 and W2 -> W3","Yes, descriptive group differences",No,Active W2 predictor in current drop + decomposition feature set.
Active W2 model predictor,v27_A,v27,Internet/Digital(Peer/Social),錯失恐懼與社交監測,Online Peer FOMO and Social Monitoring,Online / Digital Life,decomposed_subscale,v27_1;v27_2;v27_3,mean,"Yes, W2 -> W2 and W2 -> W3","Yes, descriptive group differences",No,Active W2 predictor in current drop + decomposition feature set.
Active W2 model predictor,v27_B,v27,Internet/Digital(Peer/Social),線上活動錯失困擾,Distress from Missing Online Events,Online / Digital Life,decomposed_subscale,v27_4,mean,"Yes, W2 -> W2 and W2 -> W3","Yes, descriptive group differences",No,Active W2 predictor in current drop + decomposition feature set.
Active W2 model predictor,v28,v28,Internet/Digital(Dependency),問題性網路使用與網路依賴,Problematic Internet Use and Internet Dependence,Online / Digital Life,scale_or_single_item,v28_1;v28_2;v28_3;v28_4;v28_5;v28_6;v28_7;v28_8;v28_9;v28_10,mean,"Yes, W2 -> W2 and W2 -> W3","Yes, descriptive group differences",No,Active W2 predictor in current drop + decomposition feature set.
Active W2 model predictor,v34,v34,Bullying(Physical_Victim),現實／線下霸凌受害經驗,Offline Bullying Victimization,Bullying / Victimization,scale_or_single_item,v34,mean,"Yes, W2 -> W2 and W2 -> W3","Yes, descriptive group differences",No,Active W2 predictor in current drop + decomposition feature set.
Active W2 model predictor,v36,v36,Bullying(Physical_Responsible),現實／線下霸凌加害經驗,Offline Bullying Perpetration,Bullying / Victimization,scale_or_single_item,v36,mean,"Yes, W2 -> W2 and W2 -> W3","Yes, descriptive group differences",No,Active W2 predictor in current drop + decomposition feature set.
Active W2 model predictor,v38,v38,Bullying (Internet/Digital)(false-_information_Victim),網路／數位霸凌受害經驗,Cyberbullying Victimization,Bullying / Victimization,scale_or_single_item,v38,mean,"Yes, W2 -> W2 and W2 -> W3","Yes, descriptive group differences",No,Active W2 predictor in current drop + decomposition feature set.
Active W2 model predictor,v40,v40,Bullying (Internet/Digital)(false_information),網路／數位霸凌加害經驗,Cyberbullying Perpetration,Bullying / Victimization,scale_or_single_item,v40,mean,"Yes, W2 -> W2 and W2 -> W3","Yes, descriptive group differences",No,Active W2 predictor in current drop + decomposition feature set.
Active W2 model predictor,v42,v42,Bad_habits,偏差與風險行為,Delinquent and Risk Behaviors,Delinquency / Risk Behavior,scale_or_single_item,v42_01;v42_02;v42_03;v42_04;v42_05;v42_06;v42_07;v42_08;v42_09;v42_10;v42_11;v42_12;v42_13,count,"Yes, W2 -> W2 and W2 -> W3","Yes, descriptive group differences",No,Active W2 predictor in current drop + decomposition feature set.
Active W2 model predictor,v49,v49,School (Internet/Digital_Learning),數位學習支持：學校科技課程效益知覺,Perceived Effectiveness of School-based Digital/Technology Learning,Online / Digital Life,scale_or_single_item,v49,mean,"Yes, W2 -> W2 and W2 -> W3","Yes, descriptive group differences",No,Active W2 predictor in current drop + decomposition feature set.
Active W2 model predictor,v52,v52,Health,自我價值與正向自我概念,Self-Worth and Positive Self-Concept,SEL / Resilience,scale_or_single_item,v52_1;v52_2;v52_3,mean,"Yes, W2 -> W2 and W2 -> W3","Yes, descriptive group differences",No,Active W2 predictor in current drop + decomposition feature set.
Active W2 model predictor,v54_A,v54,Social_and_Emotional_Learning,自我覺察,Self-Awareness,SEL / Resilience,decomposed_subscale,v54_1;v54_2;v54_3,mean,"Yes, W2 -> W2 and W2 -> W3","Yes, descriptive group differences",No,Active W2 predictor in current drop + decomposition feature set.
Active W2 model predictor,v54_B,v54,Social_and_Emotional_Learning,自我管理,Self-Management,SEL / Resilience,decomposed_subscale,v54_4;v54_5;v54_6,mean,"Yes, W2 -> W2 and W2 -> W3","Yes, descriptive group differences",No,Active W2 predictor in current drop + decomposition feature set.
Active W2 model predictor,v54_C,v54,Social_and_Emotional_Learning,動機與目標導向,Motivation & Goal Setting,SEL / Resilience,decomposed_subscale,v54_7;v54_8;v54_9,mean,"Yes, W2 -> W2 and W2 -> W3","Yes, descriptive group differences",No,Active W2 predictor in current drop + decomposition feature set.
Active W2 model predictor,v54_D,v54,Social_and_Emotional_Learning,人際技巧與社交意識,Social Awareness & Relationship Skills,SEL / Resilience,decomposed_subscale,v54_10;v54_11;v54_13;v54_14;v54_15,mean,"Yes, W2 -> W2 and W2 -> W3","Yes, descriptive group differences",No,Active W2 predictor in current drop + decomposition feature set.
Active W2 model predictor,v54_E,v54,Social_and_Emotional_Learning,求助行為與社會支持,Help-Seeking,SEL / Resilience,decomposed_subscale,v54_12;v54_16,mean,"Yes, W2 -> W2 and W2 -> W3","Yes, descriptive group differences",No,Active W2 predictor in current drop + decomposition feature set.
Active W2 model predictor,v54_F,v54,Social_and_Emotional_Learning,負責任的決策與社會影響,Responsible Decision-Making,SEL / Resilience,decomposed_subscale,v54_17;v54_18;v54_19;v54_20,mean,"Yes, W2 -> W2 and W2 -> W3","Yes, descriptive group differences",No,Active W2 predictor in current drop + decomposition feature set.
Active W2 model predictor,v8_03-v8_06,v8_03-v8_06,School/Peer Relations,學校社會逆境與同儕壓力事件,School Social Adversity and Peer Stress Events,School Context / Belonging,direct_feature,v8_03;v8_04;v8_05;v8_06,mean,"Yes, W2 -> W2 and W2 -> W3","Yes, descriptive group differences",No,Active W2 predictor in current drop + decomposition feature set.
Observed interpersonal feature,ip_in_enemy_total,Peer nomination / interpersonal network,Peer nomination / interpersonal network,,"Incoming Negative Nominations, Observed Count",Interpersonal Network,constructed_interpersonal_feature,Observed online + offline negative nominations received,"Observed, non-class-adjusted count/ratio/valence feature.","Yes, interpersonal incremental modeling","Yes, observed network Table 1",No,Current Table 1 and interpersonal modeling use the observed version only.
Observed interpersonal feature,ip_in_friend_total,Peer nomination / interpersonal network,Peer nomination / interpersonal network,,"Incoming Friendship Nominations, Observed Count",Interpersonal Network,constructed_interpersonal_feature,Observed online + offline friend nominations received,"Observed, non-class-adjusted count/ratio/valence feature.","Yes, interpersonal incremental modeling","Yes, observed network Table 1",No,Current Table 1 and interpersonal modeling use the observed version only.
Observed interpersonal feature,ip_offline_total,Peer nomination / interpersonal network,Peer nomination / interpersonal network,,"Offline Total Nominations, Observed Count",Interpersonal Network,constructed_interpersonal_feature,"Observed offline friendship and offline negative nominations, sent and received","Observed, non-class-adjusted count/ratio/valence feature.","Yes, interpersonal incremental modeling","Yes, observed network Table 1",No,Current Table 1 and interpersonal modeling use the observed version only.
Observed interpersonal feature,ip_online_total,Peer nomination / interpersonal network,Peer nomination / interpersonal network,,"Online Total Nominations, Observed Count",Interpersonal Network,constructed_interpersonal_feature,"Observed online friendship and online negative nominations, sent and received","Observed, non-class-adjusted count/ratio/valence feature.","Yes, interpersonal incremental modeling","Yes, observed network Table 1",No,Current Table 1 and interpersonal modeling use the observed version only.
Observed interpersonal feature,ip_out_enemy_total,Peer nomination / interpersonal network,Peer nomination / interpersonal network,,"Outgoing Negative Nominations, Observed Count",Interpersonal Network,constructed_interpersonal_feature,Observed online + offline negative nominations sent,"Observed, non-class-adjusted count/ratio/valence feature.","Yes, interpersonal incremental modeling","Yes, observed network Table 1",No,Current Table 1 and interpersonal modeling use the observed version only.
Observed interpersonal feature,ip_out_friend_total,Peer nomination / interpersonal network,Peer nomination / interpersonal network,,"Outgoing Friendship Nominations, Observed Count",Interpersonal Network,constructed_interpersonal_feature,Observed online + offline friend nominations sent,"Observed, non-class-adjusted count/ratio/valence feature.","Yes, interpersonal incremental modeling","Yes, observed network Table 1",No,Current Table 1 and interpersonal modeling use the observed version only.
Observed interpersonal feature,ip_received_like_ratio,Peer nomination / interpersonal network,Peer nomination / interpersonal network,,Received Positive Tie Ratio,Interpersonal Network,constructed_interpersonal_feature,Observed friend nominations received / all observed nominations received,"Observed, non-class-adjusted count/ratio/valence feature.","Yes, interpersonal incremental modeling","Yes, observed network Table 1",No,Current Table 1 and interpersonal modeling use the observed version only.
Observed interpersonal feature,ip_received_net,Peer nomination / interpersonal network,Peer nomination / interpersonal network,,"Received Network Valence, Observed",Interpersonal Network,constructed_interpersonal_feature,Observed friend nominations received minus observed negative nominations received,"Observed, non-class-adjusted count/ratio/valence feature.","Yes, interpersonal incremental modeling","Yes, observed network Table 1",No,Current Table 1 and interpersonal modeling use the observed version only.
Observed interpersonal feature,ip_reciprocal_enemy_count,Peer nomination / interpersonal network,Peer nomination / interpersonal network,,"Reciprocal Negative Ties, Observed Count",Interpersonal Network,constructed_interpersonal_feature,Observed mutual negative nominations,"Observed, non-class-adjusted count/ratio/valence feature.","Yes, interpersonal incremental modeling","Yes, observed network Table 1",No,Current Table 1 and interpersonal modeling use the observed version only.
Observed interpersonal feature,ip_reciprocal_friend_count,Peer nomination / interpersonal network,Peer nomination / interpersonal network,,"Reciprocal Friendship Ties, Observed Count",Interpersonal Network,constructed_interpersonal_feature,Observed mutual friendship nominations,"Observed, non-class-adjusted count/ratio/valence feature.","Yes, interpersonal incremental modeling","Yes, observed network Table 1",No,Current Table 1 and interpersonal modeling use the observed version only.
Observed interpersonal feature,ip_sent_like_ratio,Peer nomination / interpersonal network,Peer nomination / interpersonal network,,Sent Positive Tie Ratio,Interpersonal Network,constructed_interpersonal_feature,Observed friend nominations sent / all observed nominations sent,"Observed, non-class-adjusted count/ratio/valence feature.","Yes, interpersonal incremental modeling","Yes, observed network Table 1",No,Current Table 1 and interpersonal modeling use the observed version only.
Observed interpersonal feature,ip_sent_net,Peer nomination / interpersonal network,Peer nomination / interpersonal network,,"Sent Network Valence, Observed",Interpersonal Network,constructed_interpersonal_feature,Observed friend nominations sent minus observed negative nominations sent,"Observed, non-class-adjusted count/ratio/valence feature.","Yes, interpersonal incremental modeling","Yes, observed network Table 1",No,Current Table 1 and interpersonal modeling use the observed version only.
